tid,teamAbbrev,teamName,top15PlayerCount,current_v2_point_sum_pct_cap,combined_point_sum_pct_cap,delta_pct_cap,combined_range_min_sum_pct_cap,combined_range_mid_sum_pct_cap,combined_range_max_sum_pct_cap,top8_combined_point_sum_pct_cap,top10_combined_point_sum_pct_cap,top15_combined_point_sum_pct_cap,thresholdFlag,oneA_delta_contribution,oneB_B_delta_contribution,other_delta_contribution,highest_delta_player_1,highest_delta_player_2,highest_delta_player_3,top15Players
23,NOL,New Orleans Pelicans,15,93.695,103.647,9.952,86.752,100.678,114.604,90.734,94.872,103.647,low_or_conservative,4.61,5.341,0,"Anthony Davis (LOW_END_STARTER->SOLID_STARTER, 15.4->23.66, +5.34% cap)","Aaron Holiday (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 7.84->14.97, +4.61% cap)","Luka Dončić (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.65->45.65, +0% cap)",Luka Dončić; Jared Butler; Anthony Davis; DeMarcus Cousins; Nickeil Alexander-Walker; Aaron Holiday; Keita Bates-Diop; Naz Reid; Grant Williams; Brad Wanamaker; Jaime Jaquez Jr.; Ajay Mitchell; Antonio Blakeney; Derrick Jones Jr.; Jalen Bridges
13,PHO,Phoenix Suns,15,93.256,103.298,10.042,78.427,97.88,117.332,87.1,92.525,103.298,low_or_conservative,10.042,0,0,"Devin Booker (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 8.33->16.18, +5.08% cap)","Allen Crabbe (SPECIALIST_ROTATION->HIGH_END_ROTATION, 6.93->14.61, +4.97% cap)","Kevin Knox (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.97->32.97, +0% cap)",Kevin Knox; Deni Avdija; Kevin Huerter; Devin Booker; Mfiondu Kabengele; Josh Jackson; Terence Davis; Allen Crabbe; Alen Smailagić; Hassan Whiteside; Ben Sheppard; Jawun Evans; Trey Murphy III; T.J. Warren; Tyler Bey
9,CHI,Chicago Bulls,14,61.442,75.202,13.76,55.368,71.559,87.749,62.58,68.154,75.202,low_or_conservative,8.522,5.238,0,"RJ Barrett (MINIMUM_LEVEL->HIGH_END_ROTATION, 3.26->16.44, +8.52% cap)","Jerian Grant (LOW_END_STARTER->SOLID_STARTER, 16.36->24.46, +5.24% cap)","Khris Middleton (LOW_END_STARTER->LOW_END_STARTER, 14.72->14.72, +0% cap)",RJ Barrett; Jerian Grant; Khris Middleton; Lauri Markkanen; Isaac Okoro; Jrue Holiday; Larry Nance Jr.; Jaylen Brown; Alex Sarr; Mitchell Robinson; De'Andre Hunter; CJ Elleby; Bryce McGowens; John Petty Jr.
29,CHA,Charlotte Hornets,15,93.676,93.676,0,81.835,90.764,99.692,80.711,84.268,93.676,low_or_conservative,0,0,0,"Malik Monk (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.73->45.73, +0% cap)","Jarred Vanderbilt (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.45->45.45, +0% cap)","Spencer Dinwiddie (LOW_END_STARTER->LOW_END_STARTER, 15.53->15.53, +0% cap)",Malik Monk; Jarred Vanderbilt; Spencer Dinwiddie; Justin Jackson; Jimmy Butler; Cade Cunningham; Frank Kaminsky; Kemba Walker; Quentin Grimes; Paul Reed; Ziaire Williams; Moses Brown; Udoka Azubuike; Jalen Smith; Jordan Walsh
11,HOU,Houston Rockets,15,61.435,79.541,18.105,61.913,76.507,91.101,66.77,70.96,79.541,low_or_conservative,18.105,0,0,"Kristaps Porziņģis (VETERAN_MINIMUM_PLUS->HIGH_END_ROTATION, 4.64->15.05, +6.73% cap)","Brandon Miller (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.57->15.08, +6.15% cap)","AJ Griffin (SPECIALIST_ROTATION->HIGH_END_ROTATION, 7.19->15.27, +5.22% cap)",Ayo Dosunmu; Isaiah Stewart; AJ Griffin; Jarrett Culver; Kristaps Porziņģis; Brandin Podziemski; Brandon Miller; Ivan Rabb; Rodney Hood; Day'Ron Sharpe; Josh Minott; Joel Ayayi; Pacome Dadiet; Clint Capela; Jaylon Tyson
12,MIL,Milwaukee Bucks,15,64.947,80.039,15.092,66.459,77.764,89.068,67.456,71.6,80.039,low_or_conservative,15.092,0,0,"Yves Missi (MINIMUM_LEVEL->HIGH_END_ROTATION, 2.3->16.01, +8.87% cap)","Moussa Diabaté (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.65->15.28, +6.23% cap)","Marvin Bagley III (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.59->45.59, +0% cap)",Marvin Bagley III; Amir Coffey; Chris Duarte; Marquese Chriss; Yves Missi; Moussa Diabaté; David Nwaba; Kyle Kuzma; E.J. Liddell; Jeremy Lamb; Peyton Watson; Kyshawn George; Harry Giles; Oso Ighodaro; Jaylen Hoard
16,POR,Portland Trail Blazers,15,57.439,57.439,0,47.046,55.3,63.554,46.007,49.479,57.439,low_or_conservative,0,0,0,"Darius Bazley (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.9->32.9, +0% cap)","James Bouknight (LOW_END_STARTER->LOW_END_STARTER, 15.63->15.63, +0% cap)","Cam Thomas (MINIMUM_LEVEL->MINIMUM_LEVEL, 2.71->2.71, +0% cap)",Darius Bazley; James Bouknight; Cam Thomas; Zach Collins; Dewan Hernandez; R.J. Hampton; Damian Lillard; Jaylin Williams; Jalen Williams; Cassius Stanley; Usman Garuba; Jalen Suggs; Ron Holland; Colby Jones; Christian Braun
2,GSW,Golden State Warriors,15,99.728,104.998,5.27,85.454,99.859,114.264,92.079,96.25,104.998,low_or_conservative,0,5.27,0,"Brandon Ingram (LOW_END_STARTER->SOLID_STARTER, 16.06->24.21, +5.27% cap)","Zhaire Smith (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.68->45.68, +0% cap)","Jaden Ivey (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.75->32.75, +0% cap)",Zhaire Smith; Jaden Ivey; Brandon Ingram; Stephen Curry; Draymond Green; Andrew Nembhard; Paul Eboua; Patrick McCaw; D.J. Stewart Jr.; Nikola Mirotić; Kevon Looney; Oshae Brissett; Dalton Knecht; Baylor Scheierman; Toumani Camara
5,DET,Detroit Pistons,15,106.796,123.11,16.314,102.422,118.214,134.006,109.615,113.282,123.11,normal-ish,11.102,5.212,0,"Amen Thompson (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.7->15.4, +6.27% cap)","Henry Ellenson (LOW_END_STARTER->SOLID_STARTER, 16.6->24.66, +5.21% cap)","D'Angelo Russell (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 8.07->15.54, +4.83% cap)",Joshua Primo; Luke Kennard; Henry Ellenson; Isaiah Todd; Andre Drummond; D'Angelo Russell; Amen Thompson; Terrance Ferguson; Simisola Shittu; Chet Holmgren; Jose Alvarado; Derrick Favors; Josh Green; Frank Jackson; Saddiq Bey
6,PHI,Philadelphia 76ers,15,84.391,100.828,16.437,80.146,96.628,113.109,88.044,91.723,100.828,low_or_conservative,11.115,5.322,0,"Jalen Duren (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.99->16.14, +6.56% cap)","Markelle Fultz (LOW_END_STARTER->SOLID_STARTER, 15.52->23.75, +5.32% cap)","Yogi Ferrell (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 7.78->14.82, +4.55% cap)",Saben Lee; Markelle Fultz; Joel Embiid; Willy Hernangómez; Jalen Duren; Yogi Ferrell; Lamar Stevens; RJ Nembhard Jr.; Goga Bitadze; Sandro Mamukelashvili; Josh Richardson; Justinian Jessup; Vince Williams Jr.; Jahmi'us Ramsey; Taran Armstrong
3,SAC,Sacramento Kings,15,90.184,103.453,13.269,85.743,99.595,113.446,92.163,95.325,103.453,low_or_conservative,8.005,5.263,0,"Jalen Johnson (MINIMUM_LEVEL->HIGH_END_ROTATION, 2.72->15.1, +8.01% cap)","De'Aaron Fox (LOW_END_STARTER->SOLID_STARTER, 16.12->24.26, +5.26% cap)","Ja Morant (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.43->45.43, +0% cap)",Ja Morant; De'Aaron Fox; KJ Martin; Rodions Kurucs; Jalen Johnson; Aaron Harrison; Justin Holiday; Daishen Nix; Jett Howard; Pete Nance; Admiral Schofield; Bub Carrington; KJ Simpson; Killian Hayes; Jarace Walker
19,SA,San Antonio Spurs,15,71.497,76.767,5.27,65.569,75.225,84.881,59.819,66.001,76.767,low_or_conservative,0,5.27,0,"Josh Okogie (LOW_END_STARTER->SOLID_STARTER, 16.01->24.16, +5.27% cap)","Josh Giddey (STAR_NEAR_MAX->STAR_NEAR_MAX, 38.08->38.08, +0% cap)","Didi Louzada (LOW_END_STARTER->LOW_END_STARTER, 14.19->14.19, +0% cap)",Josh Giddey; Josh Okogie; Didi Louzada; Nico Mannion; Omari Spellman; Kevin Porter Jr.; Aaron Gordon; DeJon Jarreau; Josh Reaves; Keegan Murray; Markieff Morris; Domantas Sabonis; Louis King; Greg Monroe; Jaden Hardy
25,ORL,Orlando Magic,13,63.576,63.576,0,49.697,62.438,75.178,53.857,57.491,63.576,low_or_conservative,0,0,0,"Jeremy Sochan (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.98->32.98, +0% cap)","Cole Anthony (LOW_END_STARTER->LOW_END_STARTER, 15.43->15.43, +0% cap)","Bobby Portis (LOW_END_STARTER->LOW_END_STARTER, 13.75->13.75, +0% cap)",Jeremy Sochan; Cole Anthony; Bobby Portis; Jerami Grant; Gradey Dick; Mario Hezonja; KZ Okpala; Zaccharie Risacher; Josh Hart; Matas Buzelis; Bilal Coulibaly; Mac McClung; Kevin McCullar Jr.
14,LAC,Los Angeles Clippers,14,110.197,128.723,18.526,102.737,123.024,143.311,115.952,120.989,128.723,normal-ish,18.526,0,0,"Victor Oladipo (MINIMUM_LEVEL->HIGH_END_ROTATION, 3.96->14.33, +6.71% cap)","Julian Strawther (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.6->15.15, +6.18% cap)","Georgios Kalaitzakis (SPECIALIST_ROTATION->HIGH_END_ROTATION, 7.63->16.36, +5.65% cap)",Justin Champagnie; Scoot Henderson; Alperen Şengün; Anthony Black; Victor Oladipo; Georgios Kalaitzakis; Julian Strawther; Landry Shamet; Kelly Olynyk; Blake Griffin; Jay Scrubb; Ariel Hukporti; Kahlil Whitney; Jaylin Galloway
20,DEN,Denver Nuggets,15,56.185,66.052,9.867,50.265,63.311,76.357,53.236,57.187,66.052,low_or_conservative,4.578,5.289,0,"Jamal Murray (LOW_END_STARTER->SOLID_STARTER, 15.87->24.05, +5.29% cap)","Emmanuel Mudiay (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 7.82->14.9, +4.58% cap)","Kessler Edwards (LOW_END_STARTER->LOW_END_STARTER, 15.46->15.46, +0% cap)",Jamal Murray; Kessler Edwards; Tre Mann; Gary Harris; Herbert Jones; Emmanuel Mudiay; Zeke Nnaji; Tari Eason; Ty-Shon Alexander; Tyler Davis; Karim Mané; A.J. Lawson; Brandon Williams; Blake Wesley; Donovan Clingan
0,BOS,Boston Celtics,14,89.415,94.646,5.231,74.164,90.188,106.213,84.132,87.585,94.646,low_or_conservative,0,5.231,0,"Terry Rozier (LOW_END_STARTER->SOLID_STARTER, 16.42->24.51, +5.23% cap)","LaMelo Ball (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 33.72->33.72, +0% cap)","Brandon Boston Jr. (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.38->32.38, +0% cap)",LaMelo Ball; Terry Rozier; Brandon Boston Jr.; Keldon Johnson; Gordon Hayward; CJ McCollum; Evan Mobley; Jalen Hood-Schifino; Xavier Tillman Sr.; Scotty Pippen Jr.; Mo Bamba; Jules Bernard; Kendrick Nunn; Tyler Smith
15,CLE,Cleveland Cavaliers,13,62.703,67.443,4.74,57.086,65.713,74.339,58.875,62.806,67.443,low_or_conservative,4.74,0,0,"LeBron James (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 7.98->15.31, +4.74% cap)","Trae Young (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.55->45.55, +0% cap)","Nassir Little (LOW_END_STARTER->LOW_END_STARTER, 14.85->14.85, +0% cap)",Trae Young; Nassir Little; Darius Garland; LeBron James; Chris McCullough; Jericho Sims; Nic Claxton; Dru Smith; Vince Edwards; Onyeka Okongwu; Azuolas Tubelis; Kyree Walker; Jamal Shead
24,MIA,Miami Heat,14,90.766,114.937,24.171,90.837,109.049,127.262,103.996,107.055,114.937,normal-ish,18.965,5.205,0,"Dereck Lively II (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.96->16.05, +6.52% cap)","Nikola Jović (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.72->15.45, +6.29% cap)","Stephon Castle (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.57->15.08, +6.15% cap)",Jaxson Hayes; Kai Jones; Nikola Jokić; Shaedon Sharpe; Dennis Smith Jr.; Dereck Lively II; Stephon Castle; Nikola Jović; Devin Carter; Terry Taylor; Caris LeVert; Michael Porter Jr.; Bol Bol; Darius Days
1,NYK,New York Knicks,15,76.903,82.671,5.768,70.698,81.663,92.628,65.348,70.656,82.671,low_or_conservative,5.768,0,0,"Keon Johnson (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.17->14.09, +5.77% cap)","Luka Šamanić (STAR_NEAR_MAX->STAR_NEAR_MAX, 38.08->38.08, +0% cap)","Collin Sexton (MINIMUM_LEVEL->MINIMUM_LEVEL, 3.5->3.5, +0% cap)",Luka Šamanić; Collin Sexton; Dyson Daniels; Jayson Tatum; Furkan Korkmaz; Keon Johnson; Miles McBride; Tosan Evbuomwan; Isaiah Collier; Marcus Derrickson; Cam Whitmore; Immanuel Quickley; Josh Hall; Jared McCain; Kobe Bufkin
26,MIN,Minnesota Timberwolves,10,67.747,77.666,9.919,62.674,73.9,85.126,74.633,77.666,77.666,low_or_conservative,4.617,5.302,0,"Miles Bridges (LOW_END_STARTER->SOLID_STARTER, 15.7->23.9, +5.3% cap)","Ky Bowman (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 7.85->14.99, +4.62% cap)","Anthony Edwards (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.22->32.22, +0% cap)",Anthony Edwards; Miles Bridges; Ky Bowman; Victor Wembanyama; Ausar Thompson; Kenneth Lofton Jr.; Billy Preston; Tyrese Maxey; Zach Edey; Jamal Cain
