dataset,caseId,globalCaseId,name,bucket,currentTier,combinedTier,responsibleModule,humanRangeText,tierRangeText,tierRangeMinM,tierRangeMaxM,currentPointM,combinedPointM,pointLocationInsideTierRange,currentGapM,combinedGapM,missType,humanVsTierRange,decomposition,nearBoundary,combinedSevere,combinedDirection
validation20,V20-06,,Isaiah Jackson,young_proven_young_starter,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,none,$40.00M-$46.40M,$26.29M-$34.80M,26.291,34.796,33.48,33.48,0.8453,6.52,6.52,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
validation20,V20-07,,Paolo Banchero,young_proven_young_starter,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,none,$38.00M-$44.00M,$26.29M-$34.80M,26.291,34.796,33.53,33.53,0.8511,4.47,4.47,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
validation20,V20-08,,Ja Morant,young_proven_young_starter,STAR_NEAR_MAX,STAR_NEAR_MAX,none,$38.00M-$43.00M,$40.83M-$46.40M,40.828,46.395,45.43,45.43,0.8267,2.43,2.43,too_high,human_range_overlaps_tier_range,human_range_overlaps_tier_range_but_point_misses -> placement issue,no,no,too_high
validation20,V20-09,,Bradley Beal,low_end_starter_good_rotation,LOW_END_STARTER,SOLID_STARTER,1B-B,$22.00M-$27.00M,$18.56M-$26.29M,18.558,26.291,15.65,23.87,0.6869,6.35,0,inside,human_range_overlaps_tier_range,inside,no,no,inside
validation20,V20-10,,Jason Preston,low_end_starter_good_rotation,LOW_END_STARTER,LOW_END_STARTER,none,$24.00M-$29.00M,$9.28M-$18.56M,9.279,18.558,16.86,16.86,0.817,7.14,7.14,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
validation20,V20-11,,Anthony Davis,low_end_starter_good_rotation,LOW_END_STARTER,SOLID_STARTER,1B-B,$24.00M-$28.00M,$18.56M-$26.29M,18.558,26.291,15.4,23.66,0.6598,8.6,0.34,near_boundary_minor_miss,human_range_overlaps_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
validation20,V20-12,,Jared Butler,low_end_starter_good_rotation,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,none,$23.00M-$28.00M,$26.29M-$34.80M,26.291,34.796,32.46,32.46,0.7253,4.46,4.46,too_high,human_range_overlaps_tier_range,human_range_overlaps_tier_range_but_point_misses -> placement issue,no,no,too_high
validation20,V20-13,,Landry Shamet,specialist_low_rotation,SPECIALIST_ROTATION,SPECIALIST_ROTATION,none,$10.00M-$14.00M,$5.41M-$8.51M,5.413,8.506,7.03,7.03,0.5228,2.97,2.97,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
validation20,V20-14,,Hassan Whiteside,specialist_low_rotation,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,none,$3.00M-$5.00M,$3.71M-$5.41M,3.71,5.413,4.36,4.36,0.3817,0,0,inside,human_range_overlaps_tier_range,inside,no,no,inside
validation20,V20-15,,Damian Lillard,specialist_low_rotation,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,none,$10.00M-$14.00M,$6.19M-$9.28M,6.186,9.279,7.7,7.7,0.4895,2.3,2.3,too_low,human_range_above_tier_range,human_range_above_tier_range -> likely range too low or tier too low,no,no,too_low
validation20,V20-16,,Austin Reaves,specialist_low_rotation,SPECIALIST_ROTATION,SPECIALIST_ROTATION,none,$8.00M-$12.00M,$5.41M-$8.51M,5.413,8.506,6.86,6.86,0.4678,1.14,1.14,near_boundary_minor_miss,human_range_overlaps_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_low
validation20,V20-17,,Alec Burks,veteran_minimum_fringe_negative,MINIMUM_LEVEL,MINIMUM_LEVEL,none,$3.71M,$3.71M-$4.27M,3.71,4.267,3.74,3.74,0.0539,0.03,0.03,near_boundary_minor_miss,human_range_overlaps_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_high
validation20,V20-18,,Terrence Jones,veteran_minimum_fringe_negative,MINIMUM_LEVEL,MINIMUM_LEVEL,none,$3.71M,$3.71M-$4.27M,3.71,4.267,3.76,3.76,0.0898,0.05,0.05,near_boundary_minor_miss,human_range_overlaps_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_high
validation20,V20-19,,Jusuf Nurkić,veteran_minimum_fringe_negative,MINIMUM_LEVEL,MINIMUM_LEVEL,none,$3.71M,$3.71M-$4.27M,3.71,4.267,3.78,3.78,0.1257,0.07,0.07,near_boundary_minor_miss,human_range_overlaps_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_high
validation20,V20-20,,Johnathan Motley,veteran_minimum_fringe_negative,MINIMUM_LEVEL,MINIMUM_LEVEL,none,$3.36M,$3.36M-$3.86M,3.36,3.864,3.41,3.41,0.0992,0.05,0.05,near_boundary_minor_miss,human_range_overlaps_tier_range,"near_boundary -> minor, do not overreact",yes,no,too_high
