tid,teamAbbrev,teamName,totalDeltaPctCap,deltaFrom1A,deltaFrom1B_B,deltaFromOther,topDeltaPlayers,acceptableRead
24,MIA,Miami Heat,24.171,18.965,5.205,0,"Dereck Lively II (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.96->16.05, +6.52% cap); Nikola Jović (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.72->15.45, +6.29% cap); Stephon Castle (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.57->15.08, +6.15% cap)",review module concentration before implementation
26,MIN,Minnesota Timberwolves,9.919,4.617,5.302,0,"Miles Bridges (LOW_END_STARTER->SOLID_STARTER, 15.7->23.9, +5.3% cap); Ky Bowman (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 7.85->14.99, +4.62% cap); Anthony Edwards (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.22->32.22, +0% cap)",likely acceptable diagnostic delta
20,DEN,Denver Nuggets,9.867,4.578,5.289,0,"Jamal Murray (LOW_END_STARTER->SOLID_STARTER, 15.87->24.05, +5.29% cap); Emmanuel Mudiay (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 7.82->14.9, +4.58% cap); Kessler Edwards (LOW_END_STARTER->LOW_END_STARTER, 15.46->15.46, +0% cap)",likely acceptable diagnostic delta
10,OKC,Oklahoma City Thunder,7.488,7.488,0,0,"Frank Ntilikina (MINIMUM_LEVEL->HIGH_END_ROTATION, 3.64->15.22, +7.49% cap); Jalen Green (SUPERSTAR_MAX->SUPERSTAR_MAX, 46.4->46.4, +0% cap); Greg Brown III (LOW_END_STARTER->LOW_END_STARTER, 15.39->15.39, +0% cap)",likely acceptable diagnostic delta
28,MEM,Memphis Grizzlies,6.13,6.13,0,0,"Willie Cauley-Stein (VETERAN_MINIMUM_PLUS->HIGH_END_ROTATION, 4.38->13.86, +6.13% cap); Paolo Banchero (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 33.53->33.53, +0% cap); Jaren Jackson Jr. (LOW_END_STARTER->LOW_END_STARTER, 15.12->15.12, +0% cap)",likely acceptable diagnostic delta
22,DAL,Dallas Mavericks,5.807,5.807,0,0,"Jordan Hawkins (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.22->14.2, +5.81% cap); Zion Williamson (SUPERSTAR_MAX->SUPERSTAR_MAX, 46.4->46.4, +0% cap); London Perrantes (LOW_END_STARTER->LOW_END_STARTER, 14.34->14.34, +0% cap)",likely acceptable diagnostic delta
1,NYK,New York Knicks,5.768,5.768,0,0,"Keon Johnson (YOUNG_UPSIDE_SUSPECT->HIGH_END_ROTATION, 5.17->14.09, +5.77% cap); Luka Šamanić (STAR_NEAR_MAX->STAR_NEAR_MAX, 38.08->38.08, +0% cap); Collin Sexton (MINIMUM_LEVEL->MINIMUM_LEVEL, 3.5->3.5, +0% cap)",likely acceptable diagnostic delta
21,IND,Indiana Pacers,5.315,0,5.315,0,"Bradley Beal (LOW_END_STARTER->SOLID_STARTER, 15.65->23.87, +5.32% cap); Devon Dotson (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.88->32.88, +0% cap); Jason Preston (LOW_END_STARTER->LOW_END_STARTER, 16.86->16.86, +0% cap)",likely acceptable diagnostic delta
2,GSW,Golden State Warriors,5.27,0,5.27,0,"Brandon Ingram (LOW_END_STARTER->SOLID_STARTER, 16.06->24.21, +5.27% cap); Zhaire Smith (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.68->45.68, +0% cap); Jaden Ivey (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.75->32.75, +0% cap)",likely acceptable diagnostic delta
19,SA,San Antonio Spurs,5.27,0,5.27,0,"Josh Okogie (LOW_END_STARTER->SOLID_STARTER, 16.01->24.16, +5.27% cap); Josh Giddey (STAR_NEAR_MAX->STAR_NEAR_MAX, 38.08->38.08, +0% cap); Didi Louzada (LOW_END_STARTER->LOW_END_STARTER, 14.19->14.19, +0% cap)",likely acceptable diagnostic delta
0,BOS,Boston Celtics,5.231,0,5.231,0,"Terry Rozier (LOW_END_STARTER->SOLID_STARTER, 16.42->24.51, +5.23% cap); LaMelo Ball (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 33.72->33.72, +0% cap); Brandon Boston Jr. (YOUNG_PROVEN_STARTER->YOUNG_PROVEN_STARTER, 32.38->32.38, +0% cap)",likely acceptable diagnostic delta
15,CLE,Cleveland Cavaliers,4.74,4.74,0,0,"LeBron James (VETERAN_ROTATION_GUARD->HIGH_END_ROTATION, 7.98->15.31, +4.74% cap); Trae Young (STAR_NEAR_MAX->STAR_NEAR_MAX, 45.55->45.55, +0% cap); Nassir Little (LOW_END_STARTER->LOW_END_STARTER, 14.85->14.85, +0% cap)",likely acceptable diagnostic delta
