pid,name,tid,team,pos,age,hgt_display_in,hgt_display_cm,hgt_rating,ovr,pot,valueNoPot,skills,contract_amount,ptModifier,usageBias,season,stre,spd,jmp,endu,ins,dnk,ft,fg,tp,oiq,diq,drb,pss,reb,gp,mpg,per,usgp,obpm,dbpm,pm100,onOff100
129,Quinn Cook,-1,FA,PG,32,73,185.4,28,43,43,41.7588516345328,,3370,1,1,2025,49,33,35,25,38,43,60,65,57,54,47,65,63,51,30,5.65,16.663984888744924,15.287967734416256,2.839624981648008,1.7527593929193692,4.483167886225987,-0.6732226524685389
146,Stephen Curry,2,GSW,PG,37,74,188,37,61,61,57.63465839792363,"3,Ps,V",27740,1,1,2025,62,42,29,37,74,57,69,65,73,66,53,82,78,66,73,30.73,18.048765503867166,26.311457953193457,3.3162012449018654,-0.147611872890419,-0.0645107550419083,2.124030231790275
166,Spencer Dinwiddie,29,CHA,G,32,77,195.6,40,61,61,57.38276170614489,"3,Ps",19990,1,1,2025,56,56,51,53,44,47,58,49,60,67,49,73,72,51,80,27.85,17.226111383100527,17.5750027142339,2.715729377873547,0.9318203984779245,7.494108655054672,10.324070174847554
169,Damyean Dotson,-1,FA,SG,31,77,195.6,42,50,50,47.16496513246344,,3360,1,1,2025,54,43,35,39,40,49,46,51,53,55,51,53,49,55,16,4.65,13.039215355425627,14.27431417093507,-0.9533283140804745,-0.9042984755077272,2.0033090707324575,-0.975515561539537
187,Tyler Ennis,-1,FA,PG,31,75,190.5,38,55,55,51.33352035673411,,3740,1,1,2025,57,47,51,49,43,41,52,57,49,51,54,63,64,52,81,7.93,9.145099428981029,13.876747870912112,-3.0262816290117787,-0.24551476394173033,-3.029816828701777,-2.9296984234256
189,Jawun Evans,13,PHO,PG,29,72,182.9,30,57,57,53.32600746033185,Ps,3240,1,1,2025,53,57,56,53,44,49,53,50,45,58,57,68,65,49,24,20.82,12.584706268896596,15.084330926693,-0.6990372760171333,0.8523158701895879,-3.0374686298800233,-10.640887525387926
200,Yogi Ferrell,6,PHI,G,32,72,182.9,29,61,61,56.58711447532124,"3,Ps",14150,1,1,2025,70,52,49,56,43,53,64,68,69,65,54,66,65,53,62,21.18,16.443142025614595,18.09131550369823,2.293733989385929,1.16203891803276,10.144886580780206,4.788657396484995
202,Bryn Forbes,7,ATL,SG,32,74,188,29,54,54,50.67779184672747,3,3110,1,1,2025,59,56,52,45,35,52,49,60,64,61,45,56,47,44,57,5.47,10.333105206685724,18.25482408953505,-2.160688313662547,-1.6589556794619327,-3.3584244046375704,-2.8065940122515576
204,De'Aaron Fox,3,SAC,PG,28,75,190.5,35,68,68,62.20622785615415,"Dp,Ps",16600,1,1,2025,69,67,69,65,61,57,54,55,50,61,71,68,71,52,80,33.73,16.796884900074012,19.690505944176934,1.1327680402950957,1.8821397616179016,-2.2685361297068267,-3.9175170353642392
210,Markelle Fultz,6,PHI,G,27,76,193,40,65,66,60.411540916983725,Ps,27740,1,1,2025,63,49,52,58,56,58,43,51,49,69,73,67,66,64,62,30.04,16.231158420997478,18.486559407427645,1.20841368706549,1.8364437183274491,4.531662879615984,-4.570459461027959
233,Jerian Grant,9,CHI,G,33,76,193,37,67,67,62.931493078918585,"3,B,Ps",18140,1,1,2025,64,61,53,55,51,52,55,54,60,66,62,83,83,61,58,33.07,22.711961693632666,20.661128565297222,5.378616753514664,2.7303111426710176,2.8848368400436906,10.890069822321193
247,James Harden,27,TOR,G,36,77,195.6,51,66,66,62.99511054421157,"3,Po,Ps,V",41200,1,1,2025,70,54,48,57,80,55,55,52,59,64,56,69,80,51,79,31.21,23.965689474735854,25.530445838858743,6.604200388508529,2.014658223306988,2.5674182576076334,2.6635864004099816
250,Aaron Harrison,3,SAC,SG,31,78,198.1,45,58,58,53.439918670328,3,2060,1,1,2025,54,53,49,49,41,63,60,56,61,58,54,56,46,48,82,20.53,11.539342361081381,16.5610737356827,-1.595755517389824,-1.3686926769345282,-0.3694011589933995,1.1525185914980585
251,Andrew Harrison,4,LAL,PG,31,78,198.1,45,48,48,45.32156284095778,,6740,1,1,2025,49,56,60,43,36,41,44,38,40,46,36,59,58,38,57,7.44,6.276683894759651,13.652754047748175,-5.202659928353058,-1.7586672678591668,-7.715959301000589,-8.666581114660898
253,Gary Harris,20,DEN,SG,31,76,193,37,61,61,55.58921238960722,3,22510,1,1,2025,71,64,62,58,43,56,57,61,60,51,55,58,52,40,55,25.81,9.356763264737703,18.190838994958888,-3.3248948906475153,-1.5674833501472563,-1.4428600274111474,3.205098729758622
279,Jrue Holiday,9,CHI,G,35,76,193,43,58,58,53.782575892787115,Ps,14410,1,1,2025,60,52,47,58,45,47,46,61,44,49,57,66,70,44,71,23.43,12.313134778596625,16.623161168406096,-1.0320877913229243,0.8314785290172289,0.08527896037376782,4.850618918238216
347,Luke Kennard,5,DET,SG,29,77,195.6,40,72,72,66.3505722456435,"3,A,B,Di,Dp,Ps,V",22150,1,1,2025,72,68,68,68,49,68,78,70,74,66,66,71,65,62,71,36.72,20.91600500852949,22.29201412350714,5.01602099900272,1.9902174208799073,4.468062142866372,3.8004458817713287
354,Furkan Korkmaz,1,NYK,SG,28,79,200.7,47,59,59,54.250495881323396,,7290,1,1,2025,59,51,50,53,44,50,48,59,54,54,62,58,51,58,82,27.14,11.693589332370466,17.34104088060397,-1.9142367782915106,-1.3364856876273952,-1.6890895641321266,4.21008782429208
379,Damian Lillard,16,POR,PG,35,74,188,35,57,57,55.052196137117804,Ps,18470,1,1,2025,65,53,43,53,60,62,62,53,43,65,42,70,68,52,79,18.73,18.839236462516563,18.395872012452628,3.397612913084634,0.591284420888746,2.804127104281209,7.809593593451706
414,CJ McCollum,0,BOS,G,34,75,190.5,36,62,62,56.99487608319895,,22060,1,1,2025,73,55,55,62,59,61,62,74,52,62,55,63,62,55,64,26.61,14.06859278871252,20.55455385190301,-0.5667449284317714,0.5641970015367486,-0.47516199456990177,-2.360370806484032
444,Donovan Mitchell,-1,FA,G,29,75,190.5,35,72,72,67.12197819469323,"3,B,Dp,Po,Ps,V",26080,1,1,2025,70,68,69,82,75,79,70,73,66,78,59,76,59,50,58,35.92,23.488151917481748,29.512929850880052,6.333011210713823,0.8416449393676677,10.548524184030251,8.121170874014133
447,Malik Monk,29,CHA,SG,27,75,190.5,33,73,76,69.00282280166023,"3,Ps,V",16910,1,1,2025,72,62,70,62,60,59,79,88,96,82,59,71,72,57,64,34.86,27.250780557722475,29.802713675499852,9.39212127461389,1.8846941104223642,5.456946003325717,5.653411639712429
462,Emmanuel Mudiay,20,DEN,PG,29,75,190.5,33,58,58,54.67886866682815,Ps,7080,1,1,2025,70,51,51,45,59,55,51,54,46,54,55,71,73,62,61,23.17,15.620332625139314,19.25180804515819,0.9539923065411795,0.4354691587759483,-2.6625191211752806,1.3010216934965995
467,Dejounte Murray,7,ATL,G,29,77,195.6,46,58,58,53.943353195936915,,3330,1,1,2025,64,37,38,43,59,52,40,41,34,52,75,60,65,73,60,23.23,13.29800529467015,15.847054397059948,-1.453335403698627,1.1504271000514943,-2.5626671037882076,-2.7686802574548235
468,Jamal Murray,20,DEN,G,28,76,193,38,65,65,60.75060505332559,"Dp,Ps",13440,1,1,2025,70,68,67,62,57,60,74,62,57,59,53,67,67,57,59,30.93,18.812974218261463,23.388443650947725,3.069349341013236,1.3173445345232047,-3.88914267852233,-0.7228139256411139
482,Frank Ntilikina,10,OKC,G,27,76,193,37,60,62,55.98316794452146,Ps,5210,1,1,2025,56,58,60,61,39,44,57,53,48,51,60,67,70,48,77,23.77,15.723414247653649,15.07132781568314,0.885196925761675,1.4892458284915344,-2.5015277461422536,-4.463065481775038
490,Victor Oladipo,14,LAC,G,33,75,190.5,46,62,62,56.91308493364364,,16400,1,1,2025,70,52,50,66,61,61,48,61,39,50,66,63,64,46,72,25.86,12.84375685157326,18.88538504763281,-2.0865794514889067,0.5558381330421818,8.15013345543638,6.278117549335524
500,Marcus Paige,-1,FA,PG,32,73,185.4,44,47,47,45.51469224943531,,3370,1,1,2025,52,37,38,36,39,47,46,46,53,52,47,54,50,54,0,0,0,0,0,0,0,0
512,Cameron Payne,-1,FA,PG,31,75,190.5,33,46,46,43.81994895659386,,3710,1,1,2025,45,47,48,35,31,28,52,53,53,45,48,65,68,46,1,5.15,0,19.97769940403781,5.036373163110607,0.5475821790619255,9.438338647065457,12.237101791566396
517,London Perrantes,22,DAL,PG,31,74,188,43,61,61,56.24157920636739,,8160,1,1,2025,66,59,56,47,52,55,51,56,52,63,54,63,57,58,81,26.47,13.539094779274924,17.7045642719577,-0.06209566021545232,0.7953341920362265,0.2878090560135059,1.881307594754987
556,Austin Rivers,-1,FA,G,33,76,193,33,52,52,49.231736681862714,,3710,1,1,2025,55,49,48,45,42,48,38,55,59,55,46,63,58,41,0,0,0,0,0,0,0,0
567,Terry Rozier,0,BOS,G,31,73,185.4,34,67,67,61.76237789896436,"3,Ps",25380,1,1,2025,68,56,59,58,50,57,62,64,70,70,68,69,65,71,78,33.77,17.613912029712917,19.577071802493755,2.5351658840924056,1.8921510257356822,2.964572943341729,6.289839408401165
570,D'Angelo Russell,5,DET,PG,29,75,190.5,38,57,57,54.627285722657305,Ps,12710,1,1,2025,52,52,49,54,76,55,59,58,58,50,49,67,73,60,73,25.42,16.376773450986125,23.466964128978713,2.5119991359611094,0.28349796379141523,-1.2866531012174756,-8.366698876945408
578,Dennis Schröder,7,ATL,G,32,73,185.4,28,56,56,53.640686904804284,Ps,3990,1,1,2025,63,47,44,59,69,61,60,69,34,64,50,67,67,54,82,20.28,16.312570045439983,20.173504271396855,0.5293592687889044,0.7075710410601266,-0.830413869652416,-0.09725588511654411
589,Ben Simmons,-1,FA,PG,29,82,208.3,64,69,69,64.31415625868769,"A,Di,Dp,Po,Ps,R",27230,1,1,2025,77,53,60,69,59,61,26,44,34,57,70,66,75,69,71,31.21,21.246543420043892,18.185358192178615,3.728510749377161,4.712178200441695,6.975536325440176,0.06298333427805543
591,Kobi Simmons,28,MEM,G,28,77,195.6,40,58,59,54.42715240370878,,11930,1,1,2025,60,60,60,48,42,40,64,61,54,49,53,63,63,46,76,19.9,14.590633691539875,14.707269998317928,0.7375438967188268,0.7139919567742581,7.952235587856672,6.32151974338319
593,Marcus Smart,-1,FA,G,31,75,190.5,36,43,43,41.24569718089533,,3710,1,1,2025,46,50,46,42,37,31,36,32,46,39,45,60,63,43,18,3.7,3.0162020811366577,14.261894197338838,-5.92116593062938,-1.609351413043032,-15.628583839133626,-19.99601025058405
594,Dennis Smith Jr.,24,MIA,PG,28,74,188,33,59,59,54.52621044400063,Ps,4030,1,1,2025,63,56,56,57,60,53,43,54,45,54,56,70,66,57,34,19.41,14.493928551530379,16.39113900097553,0.011733427874426994,1.2979859956318602,5.571131578867583,3.2554987523708707
634,Tyler Ulis,28,MEM,PG,29,70,177.8,20,57,57,54.2924287515288,Ps,15960,1,1,2025,57,59,60,61,51,51,62,53,50,52,54,73,74,48,82,20.19,15.134998944647029,14.792365454795183,2.320227030583485,0.5431009627667729,4.06091603805489,0.048497631495002066
639,Fred VanVleet,27,TOR,G,31,72,182.9,32,62,62,58.093561310269806,"3,Ps",27460,1,1,2025,57,60,60,54,42,46,63,62,67,62,58,74,66,52,69,23.98,17.958989877516572,20.101994011812874,3.3495399132025607,0.3109394066062787,1.4491201968037395,-0.19311446213038833
646,Kemba Walker,29,CHA,PG,35,72,182.9,27,57,57,54.239023681136075,Ps,10550,1,1,2025,63,63,48,49,53,54,59,57,50,61,45,68,65,49,63,19.56,14.319915068830891,18.515392122248745,0.4174933060218695,-0.48130624426272384,-1.2105727617534472,-6.1232393496179425
648,Tyrone Wallace,-1,FA,G,31,77,195.6,43,48,48,45.3751145670177,,3370,1,1,2025,56,54,49,47,42,51,47,45,35,43,43,55,52,47,0,0,0,0,0,0,0,0
649,John Wall,8,WAS,PG,35,75,190.5,42,53,53,50.70208711873374,Ps,8860,1,1,2025,46,58,59,37,49,33,40,46,34,49,42,73,86,44,50,17.13,10.970963955304454,15.18243226186483,-1.6637914640415277,-0.9212856895416568,-6.8023629443382685,-6.495783570171752
651,Derrick Walton,8,WAS,PG,30,72,182.9,37,58,58,53.24951441187002,,2510,1,1,2025,61,63,59,44,42,49,60,62,59,55,49,60,60,54,66,27.27,11.781087927451312,18.617615239221813,-1.6322956296688251,-0.7450444557002993,1.4327180221302072,5.742275636589676
690,Delon Wright,-1,FA,G,33,77,195.6,42,47,47,44.81120105968842,,3710,1,1,2025,50,53,47,40,28,36,47,39,39,42,49,59,57,44,25,3.27,5.926928733301049,12.550079879371774,-5.556243612816148,-2.184997947571352,-19.36390520021992,-21.366261648649758
705,Ochai Agbaji,-1,FA,SG,25,77,195.6,45,35,40,34.02283903531308,,2430,1,1,2025,39,51,52,33,27,42,43,52,55,49,21,38,29,46,0,0,0,0,0,0,0,0
710,Nickeil Alexander-Walker,23,NOL,SG,27,77,195.6,40,61,63,55.80807479363348,3,9100,1,1,2025,50,61,58,54,53,72,74,59,61,70,55,62,36,34,76,28.88,12.123339022469217,20.514374383268304,-1.747911334160901,-1.1866623140089256,-0.32527100894288336,-0.4056521224127572
711,Trey Alexander,8,WAS,SG,22,76,193,41,40,55,38.6600373901264,,1150,1,1,2025,35,55,48,30,34,44,68,51,50,41,39,46,44,51,28,6.1,10.497234402025637,15.057136336249469,-3.380871832589964,-0.9214497890616746,-6.712012624371288,-5.229511656756427
712,Ty-Shon Alexander,20,DEN,SG,27,75,190.5,37,57,60,53.18752201291157,,2710,1,1,2025,51,60,52,46,37,71,75,62,53,52,57,51,45,72,61,12.67,11.31900672097618,17.05995197011861,-2.7104536240631836,-1.5391958780734987,-5.732643508066507,-2.774584932933452
714,Grayson Allen,-1,FA,SG,30,76,193,39,49,49,46.20436594211093,3,3150,1,1,2025,66,56,58,41,62,58,53,47,69,40,30,53,46,36,0,0,0,0,0,0,0,0
716,Jose Alvarado,5,DET,PG,27,72,182.9,22,53,56,50.05007052522531,,1410,1,1,2025,46,70,42,44,36,74,66,71,59,47,52,56,57,41,80,11.4,10.963766271996649,19.263146109953734,-1.4598650579510037,-1.7011469609501182,4.973159643498789,2.346794066202805
719,Cole Anthony,25,ORL,PG,25,74,188,33,61,64,57.7765682110944,,11520,1,1,2025,54,62,61,53,52,69,40,61,58,63,59,66,47,67,54,30.11,17.315677311135644,22.00578369584645,1.821755160099424,0.9655798036108907,-10.354655268763482,-1.0693143097831652
721,Taran Armstrong,6,PHI,PG,23,78,198.1,41,36,46,34.947765446451434,,1150,1,1,2025,37,56,39,37,27,45,39,39,37,37,35,48,50,41,4,2.71,3.814165252665863,11.04404962384452,-8.379932619602672,-1.1475106235120922,26.252554567881823,19.357769555233023
723,Joel Ayayi,11,HOU,SG,25,77,195.6,41,46,52,43.74928095934993,,1220,1,1,2025,43,53,44,41,36,54,50,46,46,42,44,53,53,63,73,8.09,6.9509281350013,15.545573484228981,-4.788873854094496,-1.603695788591133,-9.942051669643243,-4.881893239134936
730,Amari Bailey,-1,FA,PG,21,77,195.6,42,34,54,33.170224082884666,,2610,1,1,2025,28,64,63,44,38,60,34,35,39,25,29,38,31,45,3,3.77,12.95316205088746,26.207987019137278,-0.3217779205197875,-5.065176185854966,-17.027272560800146,-20.08509030747061
732,LaMelo Ball,0,BOS,PG,24,79,200.7,52,68,74,63.828415471201154,"3,Ps,R,V",22770,1,1,2025,53,61,45,63,55,69,46,63,64,81,56,63,64,83,74,34.52,22.03538807092124,21.59091486145987,5.136756532292221,0.9592099724473293,1.2301752055478454,1.0256483599515462
735,Desmond Bane,-1,FA,SG,27,77,195.6,44,50,52,47.363438170153024,3,2720,1,1,2025,49,52,55,37,48,59,52,46,62,47,35,52,55,60,0,0,0,0,0,0,0,0
736,Dalano Banton,27,TOR,PG,26,81,205.7,57,68,71,63.978995122596615,"Di,Po,R,V",22250,1,1,2025,56,63,57,54,67,71,40,51,47,71,63,65,58,73,50,30.73,24.217865583766773,24.348796625555817,4.175260025624748,0.7039838659878583,3.214756126478473,2.700608386716078
740,Brooks Barnhizer,13,PHO,SG,23,78,198.1,51,39,52,37.995646487950395,,1300,1,1,2025,43,42,44,21,33,33,50,44,36,48,46,33,40,66,0,0,0,0,0,0,0,0
746,Tamar Bates,-1,FA,G,22,77,195.6,47,32,47,31.827930996170114,,1300,1,1,2025,26,48,51,26,62,51,76,46,43,34,29,36,27,34,0,0,0,0,0,0,0,0
748,Damion Baugh,-1,FA,SG,25,76,193,39,46,52,43.83429122353482,,2090,1,1,2025,44,56,37,33,34,45,50,63,43,41,52,50,57,52,0,0,0,0,0,0,0,0
751,Reece Beekman,7,ATL,PG,24,73,185.4,34,46,55,43.77739630135624,,1150,1,1,2025,29,67,44,33,43,57,54,50,40,46,50,51,56,41,20,5.36,3.927261935081137,19.930196750388777,-8.183814251569387,-3.1977357465113467,-6.658756974510321,-6.049367605219492
752,Juhann Begarin,28,MEM,G,23,77,195.6,42,63,71,58.15749868615686,3,6780,1,1,2025,60,61,59,49,46,72,77,54,62,51,67,53,56,56,80,28.76,15.144438551162105,18.22869364066341,0.06499364592184742,0.19955456853830933,4.590612203913475,1.3218696612478298
754,Jules Bernard,0,BOS,SG,25,79,200.7,41,49,54,46.468169720035924,3,1150,1,1,2025,40,50,51,46,33,63,67,37,65,43,43,52,48,63,67,7.44,9.26445848247996,14.433820224995562,-1.747209040606482,-1.9097057246634113,-7.1665561952355015,-9.1935379700819
756,Hugo Besson,-1,FA,G,24,78,198.1,40,32,41,31.380052176009908,,2430,1,1,2025,30,56,43,42,28,49,47,44,36,41,23,41,38,35,0,0,0,0,-6.505893146747962,-3.0512060084307198,0,0.7742463124417421
762,Anthony Black,14,LAC,PG,21,79,200.7,46,63,76,57.46383649149963,,8760,1,1,2025,44,60,71,95,49,76,40,27,57,60,54,57,47,61,58,29.65,14.097939891220763,16.88717403857933,-0.33902755010540897,0.20448214280349042,5.837453765400015,1.7774176632556309
772,Jordan Bone,-1,FA,PG,28,74,188,35,62,63,58.162036590584584,"B,Ps",11150,1,1,2025,52,70,64,49,41,70,77,60,53,58,55,69,65,49,56,29.98,16.15372493689846,20.582992801163606,1.206624282407402,0.7588772795817196,-8.428956504793172,2.254514846812505
775,James Bouknight,16,POR,SG,25,77,195.6,37,62,65,58.15712840668951,V,9290,1,1,2025,56,67,67,55,48,83,65,79,56,72,45,64,37,74,82,27.94,17.410972292235627,22.884309612372935,2.32664949627752,-1.6085795776658767,-2.581274376621909,-1.1377494961655805
778,Ky Bowman,26,MIN,PG,28,73,185.4,26,58,58,54.06797418655467,Ps,12970,1,1,2025,47,67,55,48,45,72,77,69,47,59,54,64,65,51,71,33,13.549193135456688,19.65678565429193,0.15976108568842307,-0.09707168021490098,-5.4503133217030095,1.6940044612508924
779,Malaki Branham,27,TOR,G,22,76,193,43,61,71,56.07696953853969,,4820,1,1,2025,60,60,58,83,54,45,65,78,57,58,46,50,51,60,71,19.91,13.676894408385397,20.490201291783002,-0.731005830131767,-1.616825667413813,2.2725369839206158,1.1055091206750247
781,Christian Braun,16,POR,SG,24,78,198.1,39,46,56,43.89551194653701,,5360,1,1,2025,53,50,62,43,21,56,41,54,40,49,46,43,39,66,20,2.59,10.076146247801988,5.929512628476089,-2.6077722135637798,0.6475025197952347,-10.11782764014698,-8.124664714360438
783,Koby Brea,-1,FA,SG,23,78,198.1,44,37,52,36.23344206172746,,1440,1,1,2025,40,49,45,30,33,48,73,53,60,43,30,38,34,43,0,0,0,0,0,0,0,0
798,Darius Brown II,-1,FA,SG,26,74,188,29,33,35,32.709033209281586,,1300,1,1,2025,26,56,30,27,23,48,65,46,46,32,36,50,64,42,0,0,0,0,0,0,0,0
800,Kendall Brown,-1,FA,SG,22,80,203.2,52,43,59,41.20217829225099,,2430,1,1,2025,45,59,60,48,35,52,46,39,37,29,38,45,38,53,16,3.01,9.241806375746515,9.373601667003838,-3.0581558765298444,-1.5703044947225058,4.935467993162092,0.10209928468503233
804,Jalen Brunson,-1,FA,G,29,74,188,29,48,48,46.17722121310297,,3150,1,1,2025,59,56,54,43,45,47,49,52,43,48,37,67,64,51,0,0,0,0,0,0,0,0
808,Kobe Bufkin,1,NYK,SG,22,76,193,44,42,56,40.425460936722736,,2610,1,1,2025,32,60,66,41,40,46,62,48,49,38,32,44,42,43,25,5.38,12.844432593992684,16.78819352566154,-1.4676670323413865,-2.6357360098079545,1.7930385970390317,5.51645468333706
809,Boo Buie,-1,FA,G,26,74,188,29,29,33,28.722067422002567,,2090,1,1,2025,30,43,37,7,19,55,62,54,51,33,35,47,52,47,0,0,0,0,0,0,0,0
812,Jared Butler,23,NOL,G,25,75,190.5,30,66,69,60.7436835954842,"3,B,Ps,V",4820,1,1,2025,45,68,69,57,56,80,62,73,74,64,64,70,64,45,57,32.03,16.59565459078258,24.085323657540833,2.0805363512304273,0.6474435370668958,1.0687126678550372,2.24456521828413
824,Bub Carrington,3,SAC,PG,20,76,193,41,49,67,46.48214724119741,,6990,1,1,2025,21,54,60,69,33,35,60,71,59,51,37,52,52,61,54,4.2,8.76815995628226,19.589251782810987,-3.0937185270620153,-3.2270052277382026,-7.38673406826597,-6.743750953706519
825,Devin Carter,24,MIA,PG,23,74,188,36,51,59,48.00355936020003,,1150,1,1,2025,37,66,61,35,41,56,52,54,55,47,47,49,47,67,47,8.3,5.976322769877801,15.459221068296467,-4.51966636097525,-1.3153069253504066,3.28595041205931,-1.0418288599607985
826,Jevon Carter,-1,FA,PG,30,73,185.4,34,46,46,44.12668133327219,,3150,1,1,2025,47,59,55,35,36,36,54,47,58,39,42,58,58,40,0,0,0,0,0,0,0,0
828,D.J. Carton,-1,FA,SG,25,74,188,29,43,48,41.16742819973501,,2350,1,1,2025,33,61,55,34,49,68,51,49,44,49,41,47,47,61,0,0,0,0,0,0,0,0
830,Stephon Castle,24,MIA,PG,21,78,198.1,45,57,71,53.29855922668743,,11900,1,1,2025,15,69,55,73,49,67,43,83,37,67,44,60,45,51,82,24.1,13.21802658325389,20.11939886507911,-1.2690494346622216,0.5314982027157047,2.282906240501819,-3.890474566309279
833,Malcolm Cazalon,-1,FA,SG,24,78,198.1,44,43,52,41.26028529012427,,2610,1,1,2025,34,56,43,43,42,58,57,53,57,38,33,52,48,50,16,6.24,11.946837440663,18.898080732877613,-1.5660340419505827,-1.4368867589071197,11.584322367954838,15.511332974035286
836,Kennedy Chandler,-1,FA,PG,23,72,182.9,30,33,41,32.270279186533415,,2430,1,1,2025,29,58,60,31,27,50,56,40,35,31,39,45,44,37,0,0,0,0,-6.271916148454846,-3.2974416295811686,0,-1.5615755037551586
841,Cam Christie,29,CHA,SG,20,77,195.6,44,29,56,28.72610601006371,,1150,1,1,2025,28,55,52,17,24,33,56,50,55,25,19,44,35,43,4,3.41,5.670857078590483,15.537366473534338,-3.3945030093921567,-4.527636469111847,-21.198646541410834,-24.282742020624333
842,Josh Christopher,18,BKN,SG,24,77,195.6,34,63,70,57.773933914048904,,6730,1,1,2025,57,66,68,79,60,71,64,52,51,62,59,50,51,56,68,28.36,13.27308333270963,19.11217993732568,-0.7618382652500704,0.8184615828969899,4.630441394537753,-0.9720621659682301
843,Max Christie,23,NOL,SG,22,78,198.1,48,35,50,34.152689565759935,,1320,1,1,2025,31,58,55,35,28,50,52,44,45,30,28,41,44,21,21,4.25,9.719532353485308,15.940634336034849,-1.8806596491318208,-3.341546498866596,0.5328905458788421,0.692280384196839
848,Jaylen Clark,-1,FA,SG,24,77,195.6,41,43,55,41.14668946639305,,2610,1,1,2025,37,63,51,18,34,55,42,42,37,40,55,40,40,55,10,2.34,6.882996512072113,14.331082030081907,-2.7942440653989227,-4.584960712718295,-20.28612935701053,-24.165625421815864
850,Walter Clayton,3,SAC,PG,22,74,188,33,38,58,37.11454427483892,,1300,1,1,2025,32,58,52,18,36,51,64,53,60,46,30,50,49,55,0,0,0,0,0,0,0,0
852,Nique Clifford,18,BKN,SG,23,77,195.6,46,47,58,45.04446419284214,,1970,1,1,2025,42,51,50,45,45,39,43,53,50,52,40,39,48,60,0,0,0,0,0,0,0,0
856,Isaiah Collier,1,NYK,PG,21,75,190.5,34,56,70,52.38541902099404,,1150,1,1,2025,51,63,48,57,49,73,45,61,49,48,51,58,56,61,59,17.21,11.448757743669768,19.570939802443625,-2.7538226894359856,-1.296317745516085,-8.494409855389971,-6.664726289159601
857,Yuri Collins,-1,FA,PG,24,72,182.9,22,35,43,34.050733207580436,,2320,1,1,2025,33,55,27,27,30,52,56,47,43,38,46,50,63,52,0,0,0,0,-6.147105860475966,-1.6757768096342964,0,-5.127471269265963
