caseId,globalCaseId,noteCaseId,pid,name,bucket,bucketLabel,humanTargetTier,humanAmountRangeM,humanRangeStatus,humanRangeText,humanAmountMinM,humanAmountMaxM,humanYears,humanNotes,parseNotes,sandboxModelTier,sandboxModelRangeText,sandboxModelRangeMinM,sandboxModelRangeMaxM,sandboxDirection,sandboxOverlap,sandboxGapM,sandboxSignedGapM,sandboxGapCapPct,sandboxSevere,oldDemandProxyM,oldDemandProxyText,oldDemandProxyCapPct,oldDemandVsHuman,oldDemandGapM,oldDemandSignedGapM,currentNoOptionAmount,currentNoOptionYears,currentNoOptionCapPct,age,pos,ovr,pot,value,valueNoPot,contractValue,MPG,starterShare,PER,EWA,VORP,BPM,USG,awardsSummary
C-03,B40-11,B40-11,1467,Bennedict Mathurin,low_rotation,C. LOW_ROTATION,,,missing,,,,,,empty humanAmountRangeM,MINIMUM_LEVEL,$2.43M-$2.79M,2.43,2.79,missing,,,,,,8.46,$8.46M,0.054704,missing,,,11100,1,0.071775,23,GF,52,63,55.064803,50.283119,51.62199,17.396479,0.0875,14.272768,2.089803,-0.655025,-3.866635,21.022314,None
C-04,B40-12,B40-12,1659,Alex Sarr,low_rotation,C. LOW_ROTATION,,,missing,,,,,,empty humanAmountRangeM,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,3.87,6.96,missing,,,,,,12.02,$12.02M,0.077724,missing,,,13340,3,0.086259,20,FC,55,73,62.383373,52.17654,55.034453,14.166284,0.060606,15.422986,1.627316,0.441098,-0.133657,21.612764,2025: All-Rookie Team
D-01,B40-13,B40-13,927,Simisola Shittu,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,,3-5,parsed,$3.00M-$5.00M,3,5,,,parsed as $M,MINIMUM_LEVEL,$2.94M-$3.38M,2.94,3.38,overlap,yes,0,0,0,no,12.73,$12.73M,0.082315,too_high,7.73,7.73,7270,2,0.047009,25,PF,58,62,54.81737,53.409421,53.691011,18.118911,0.182927,11.389489,-0.06535,0.095351,-1.745475,14.940929,2025: Won Championship
D-02,B40-14,B40-14,1593,Jordan Poole,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,,6-10,parsed,$6.00M-$10.00M,6,10,,,parsed as $M,LOW_ROTATION_PLUS,$3.09M-$5.41M,3.09,5.41,too_low,no,0.59,-0.59,0.003815,no,16.04,$16.04M,0.103718,too_high,6.04,6.04,9960,4,0.064403,26,G,59,62,55.930812,55.550333,55.626429,15.635103,0.012195,14.117836,1.718539,0.452275,-0.60269,19.807836,2024: Sixth Man of the Year
D-03,B40-15,B40-15,1794,Jaylen Wells,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,,8-14,parsed,$8.00M-$14.00M,8,14,,,parsed as $M,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,3.87,6.96,too_low,no,1.04,-1.04,0.006725,no,13.84,$13.84M,0.089492,inside,0,0,12620,3,0.081604,22,GF,58,67,59.126533,54.009336,55.442151,16.951821,0.014286,12.070077,0.741531,-0.055223,-2.185266,16.507034,2025: All-Rookie Team
D-04,B40-16,B40-16,1525,Keegan Murray,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,,4-8,parsed,$4.00M-$8.00M,4,8,,,parsed as $M,SPECIALIST_ROTATION,$5.41M-$8.51M,5.41,8.51,overlap,yes,0,0,0,no,9.54,$9.54M,0.061688,too_high,1.54,1.54,6170,1,0.039897,25,F,55,60,52.967847,51.537035,51.823197,14.855872,0.081081,10.948694,-0.022449,-0.649613,-4.334705,20.244612,None
E-01,B40-17,B40-17,200,Yogi Ferrell,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,,8-12,parsed,$8.00M-$12.00M,8,12,,,parsed as $M,VETERAN_ROTATION_GUARD,$6.19M-$9.28M,6.19,9.28,overlap,yes,0,0,0,no,18.43,$18.43M,0.119172,too_high,6.43,6.43,14150,1,0.091497,32,G,61,61,52.060145,56.587114,56.043878,21.181068,0.112903,16.443142,2.975675,1.81338,3.455773,18.091316,None
E-02,B40-18,B40-18,1381,Nikola Jović,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,,20-30,parsed,$20.00M-$30.00M,20,30,,,parsed as $M,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,3.87,6.96,too_low,no,13.04,-13.04,0.084319,severe_low,19.94,$19.94M,0.128936,inside,0,0,5090,1,0.032913,22,PF,61,72,62.861134,56.669136,57.907536,21.897022,0.04878,15.313426,2.725261,2.021692,2.442969,23.417442,None
E-03,B40-19,B40-19,46,Malik Beasley,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,,6-10,parsed,$6.00M-$10.00M,6,10,,,parsed as $M,MINIMUM_LEVEL,$3.37M-$3.88M,3.37,3.88,too_low,no,2.12,-2.12,0.013708,no,18.74,$18.74M,0.121177,too_high,8.74,8.74,18550,1,0.119948,29,SG,62,62,53.860427,57.298327,56.885779,22.165967,0.275,14.307076,2.686966,0.534263,-0.806608,19.530697,2022: Won Championship
E-04,B40-20,B40-20,1717,Julian Strawther,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,,12-18,parsed,$12.00M-$18.00M,12,18,,,parsed as $M,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,3.87,6.96,too_low,no,5.04,-5.04,0.03259,no,17.51,$17.51M,0.113223,inside,0,0,7860,5,0.050824,23,GF,60,69,60.368839,55.51846,56.488536,21.827799,0.21519,14.40946,2.683167,0.734251,-0.319787,19.496389,2024: All-Rookie Team
F-01,B40-21,B40-21,1675,Shaedon Sharpe,low_end_starter,F. LOW_END_STARTER,,20-30,parsed,$20.00M-$30.00M,20,30,,,parsed as $M,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,too_low,no,1.44,-1.44,0.009311,no,19.95,$19.95M,0.129001,inside,0,0,10470,1,0.067701,22,SG,62,71,62.379432,56.800222,57.916064,28.969005,1,13.037663,2.077398,0.430969,-1.173181,21.845099,2023: All-Rookie Team
F-02,B40-22,B40-22,1383,Mfiondu Kabengele,low_end_starter,F. LOW_END_STARTER,,10-16,parsed,$10.00M-$16.00M,10,16,,,parsed as $M,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,overlap,yes,0,0,0,no,19.71,$19.71M,0.127449,too_high,3.71,3.71,11870,3,0.076754,28,FC,62,63,55.443971,58.362075,57.778454,28.724895,1,17.598849,5.166143,0.819821,-0.367817,24.00698,None
F-03,B40-23,B40-23,1557,Isaac Okoro,low_end_starter,F. LOW_END_STARTER,,15-20,parsed,$15.00M-$20.00M,15,20,,,parsed as $M,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,overlap,yes,0,0,0,no,19.61,$19.61M,0.126802,inside,0,0,3200,3,0.020692,24,GF,63,68,59.975806,57.1511,57.716042,28.881846,1,12.714992,1.680487,0.600907,-0.752919,18.583642,None
F-04,B40-24,B40-24,100,Kentavious Caldwell-Pope,low_end_starter,F. LOW_END_STARTER,,6-12,parsed,$6.00M-$12.00M,6,12,,,parsed as $M,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,overlap,yes,0,0,0,no,20.68,$20.68M,0.133721,too_high,8.68,8.68,14130,2,0.091368,32,SG,63,63,53.175622,57.799589,57.244713,28.820227,1,13.453593,2.134433,0.477212,-0.962877,19.110765,None
G-01,B40-25,B40-25,51,Jordan Bell,solid_starter,G. SOLID_STARTER,,12-20,parsed,$12.00M-$20.00M,12,20,,,parsed as $M,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,overlap,yes,0,0,0,no,24.76,$24.76M,0.160103,too_high,4.76,4.76,19380,5,0.125315,30,C,65,65,56.188012,60.417217,59.909713,29.983839,1,17.872575,6.162086,2.755118,3.132717,16.023408,2024: Won Championship; 2023: Third Team All-Defensive; 2022: Third Team All-Defensive; 2021: Third Team All-Defensive; 2020: Won Championship; 2019: Second Team All-Defensive; 2018: Won Championship
G-02,B40-26,B40-26,1716,Isaiah Stewart,solid_starter,G. SOLID_STARTER,,20-25,parsed,$20.00M-$25.00M,20,25,,,parsed as $M,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,too_low,no,1.44,-1.44,0.009311,no,24.81,$24.81M,0.160427,inside,0,0,10940,4,0.07074,24,FC,65,72,63.225602,60.146349,60.7622,30.607821,1,17.000583,4.929408,0.77159,-0.538995,21.811305,None
G-03,B40-27,B40-27,20,OG Anunoby,solid_starter,G. SOLID_STARTER,,12-18,parsed,$12.00M-$18.00M,12,18,,,parsed as $M,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,overlap,yes,0,0,0,no,24.6,$24.60M,0.159069,too_high,6.6,6.6,15650,3,0.101196,28,F,67,68,58.188909,61.251484,60.638969,29.657669,1,15.945413,4.319816,2.241249,2.024647,16.407255,2019: Won Championship
G-04,B40-28,B40-28,1527,Džanan Musa,solid_starter,G. SOLID_STARTER,,12-18,parsed,$12.00M-$18.00M,12,18,,too many TO,parsed as $M,MINIMUM_LEVEL,$3.15M-$3.62M,3.15,3.62,too_low,no,8.38,-8.38,0.054187,severe_low,25.03,$25.03M,0.161849,too_high,7.03,7.03,14900,2,0.096347,26,GF,66,69,61.313465,60.783173,60.889232,32.331666,1,15.783185,3.059359,0.466919,-0.727218,27.142406,"2024: Won Championship; 2023: Most Improved Player, Won Championship"
H-01,B40-29,B40-29,1403,Kevin Knox,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,,25-35,parsed,$25.00M-$35.00M,25,35,,,parsed as $M,YOUNG_PROVEN_STARTER,$26.29M-$34.80M,26.29,34.8,overlap,yes,0,0,0,no,30.91,$30.91M,0.199871,inside,0,0,31420,2,0.203168,26,F,70,71,64.551188,64.278062,64.332687,33.32959,1,18.852119,7.499689,2.877628,2.731831,23.03125,2024: Third Team All-Defensive
H-02,B40-30,B40-30,589,Ben Simmons,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,,30-35,parsed,$30.00M-$35.00M,30,35,,,parsed as $M,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,too_low,no,11.44,-11.44,0.073973,severe_low,30.99,$30.99M,0.200388,inside,0,0,29950,5,0.193663,29,PG,69,69,60.455307,64.314156,63.851094,31.207723,1,21.246543,9.036323,5.855211,8.440689,18.185358,"2025: First Team All-Defensive; 2023: All-Star, First Team All-Defensive; 2021: All-Star, Second Team All-League, First Team All-Defensive; 2020: All-Star, Second Team All-League, First Team All-Defensive; 2019: All-Star, Defensive Player of the Year, Second Team All-League, First Team All-Defensive; 2018: All-Star, Second Team All-Defensive"
H-03,B40-31,B40-31,732,LaMelo Ball,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,,35-40,parsed,$35.00M-$40.00M,35,40,,,parsed as $M,YOUNG_PROVEN_STARTER,$26.29M-$34.80M,26.29,34.8,too_low,no,0.2,-0.2,0.001293,no,30.81,$30.81M,0.199224,too_low,4.19,-4.19,22770,4,0.147236,24,PG,68,74,66.051942,63.828415,64.273121,34.517772,1,22.035388,11.219048,5.234029,6.095967,21.590915,"2025: All-Star; 2024: All-Star, First Team All-League; 2023: All-Star, Third Team All-League; 2022: All-Star; 2021: All-Rookie Team"
H-04,B40-32,B40-32,1376,Kai Jones,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,,35-40,parsed,$35.00M-$40.00M,35,40,,,parsed as $M,YOUNG_PROVEN_STARTER,$26.29M-$34.80M,26.29,34.8,too_low,no,0.2,-0.2,0.001293,no,30.67,$30.67M,0.198319,too_low,4.33,-4.33,10150,3,0.065632,24,C,69,74,66.00233,63.738211,64.191035,31.261623,1,19.414923,8.006576,3.612523,4.246451,22.597064,2025: Third Team All-Defensive
I-01,B40-33,B40-33,1422,Saben Lee,star_near_max,I. STAR_NEAR_MAX,max,$46.40M,parsed,$46.40M,46.4,46.4,,,parsed as $M,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,37.98,$37.98M,0.245587,too_low,8.42,-8.42,11810,2,0.076366,26,PG,74,77,68.838231,68.375079,68.46771,37.159961,1,22.873623,10.712289,6.165589,8.746734,26.461451,"2025: All-Star, Third Team All-League; 2024: All-Star"
I-02,B40-34,B40-34,1247,Josh Giddey,star_near_max,I. STAR_NEAR_MAX,max,$38.66M,parsed,$38.66M,38.66,38.66,,,parsed as $M,STAR_NEAR_MAX,$34.02M-$38.66M,34.02,38.66,overlap,yes,0,0,0,no,37.63,$37.63M,0.243324,too_low,1.03,-1.03,32560,5,0.21054,23,GF,72,80,71.156137,67.544701,68.266988,37.219947,1,24.868697,13.835678,5.564332,7.087219,26.418332,2025: All-Star; 2023: All-Star; 2022: All-Rookie Team
I-03,B40-35,B40-35,1821,Patrick Williams,star_near_max,I. STAR_NEAR_MAX,max,$46.40M,parsed,$46.40M,46.4,46.4,,,parsed as $M,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,38.49,$38.49M,0.248885,too_low,7.91,-7.91,34310,4,0.221856,24,PF,74,79,70.528186,68.325202,68.765798,35.649572,1,22.873541,10.812316,3.388617,3.633695,26.121335,"2025: Second Team All-Defensive; 2024: All-Star, Most Valuable Player, Defensive Player of the Year, First Team All-League, First Team All-Defensive; 2023: All-Star, League Blocks Leader, Third Team All-Defensive; 2022: Second Team All-Defensive; 2021: All-Rookie Team"
I-04,B40-36,B40-36,1840,Trae Young,star_near_max,I. STAR_NEAR_MAX,basically max,$44-46.40M,parsed,$44.00M-$46.40M,44,46.4,,,parsed as $M,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,36.62,$36.62M,0.236793,too_low,7.38,-7.38,41200,2,0.266408,27,PG,73,75,66.348639,68.00752,67.675744,38.662058,1,24.177094,15.815873,8.361475,8.954949,26.654345,"2025: All-Star, League Assists Leader, Second Team All-League; 2024: All-Star, League Assists Leader; 2023: All-Star, Most Valuable Player, First Team All-League, Semifinals MVP; 2022: All-Star, All-Star MVP, League Assists Leader, Second Team All-League; 2021: All-Star, Finals MVP, First Team All-League, Semifinals MVP, Won Championship; 2020: All-Star, First Team All-League; 2019: Rookie of the Year, All-Rookie Team"
J-01,B40-37,B40-37,834,Justin Champagnie,superstar_max_lock,J. UPPER STAR / MAX BORDERLINE,,$46.40M,parsed,$46.40M,46.4,46.4,,,parsed as $M,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,43.01,$43.01M,0.278112,too_low,3.39,-3.39,31200,3,0.201746,24,SF,77,84,73.937059,70.860336,71.414146,35.864291,1,24.008926,11.955526,4.651456,6.254525,25.456462,"2025: All-Star, Third Team All-League, Third Team All-Defensive, Semifinals MVP; 2024: All-Star"
J-02,B40-38,B40-38,739,Scottie Barnes,superstar_max_lock,J. UPPER STAR / MAX BORDERLINE,,$46.40M,parsed,$46.40M,46.4,46.4,,,parsed as $M,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,40.39,$40.39M,0.26117,too_low,6.01,-6.01,36180,5,0.233948,24,F,74,78,70.848882,69.636653,69.879099,32.771813,1,27.048935,13.188067,5.432965,8.370563,25.153992,"2025: All-Star, Second Team All-League; 2024: All-Star, First Team All-League, First Team All-Defensive; 2022: Rookie of the Year, All-Rookie Team"
J-03,B40-39,B40-39,1604,Joshua Primo,superstar_max_lock,J. UPPER STAR / MAX BORDERLINE,,$46.40M,parsed,$46.40M,46.4,46.4,,有FMVP，基本上就是max吧,parsed as $M,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,40.23,$40.23M,0.260136,too_low,6.17,-6.17,36630,5,0.236857,23,GF,75,80,71.935592,69.247688,69.785269,37.740341,1,23.725686,10.131836,5.494538,9.321602,23.67117,"2025: Finals MVP, Semifinals MVP, Won Championship; 2024: All-Star, Third Team All-League, Semifinals MVP"
J-04,B40-40,B40-40,904,Luka Dončić,superstar_max_lock,J. UPPER STAR / MAX BORDERLINE,max,46.4,parsed,$46.40M,46.4,46.4,,,parsed as $M,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,38.81,$38.81M,0.250954,too_low,7.59,-7.59,41200,2,0.266408,26,G,74,77,69.26304,68.878824,68.955667,36.819228,1,24.573986,15.801434,8.976027,10.411228,23.399267,"2025: All-Star, First Team All-League, Second Team All-Defensive; 2024: All-Star, Third Team All-League; 2023: All-Star, Third Team All-League; 2022: All-Star, First Team All-League, Third Team All-Defensive, Semifinals MVP; 2021: All-Star, Most Valuable Player, First Team All-League; 2020: All-Star, First Team All-League; 2019: All-Star, All-Rookie Team"
