caseId,globalCaseId,pid,name,bucket,bucketLabel,challengeTags,age,pos,ovr,pot,value,valueNoPot,contractValue,estimatedDemandNoRandom,currentNoOptionAmount,currentNoOptionYears,currentNoOptionCapPct,eligibleMax,minContractForPlayer,GP,GS,MPG,starterShare,PTS,TRB,AST,STL,BLK,TOV,TS,PER,EWA,VORP,BPM,OBPM,DBPM,On-Off,USG,awardsSummary,selectionRationale,debugModelTier,debugModelRangeText,debugModelReason
C-03,B40-11,1467,Bennedict Mathurin,low_rotation,C. LOW_ROTATION,young_high_pot_low_current;high_ewa_low_minutes,23,GF,52,63,55.064803,50.283119,51.62199,8460,11100,1,0.071775,38663,2430,80,7,17.396479,0.0875,8.9375,2.65,0.4625,0.3125,0.225,1.0875,0.595516,14.272768,2.089803,-0.655025,-3.866635,-1.526185,-2.34045,-4.402446,21.022314,None,"C. LOW_ROTATION boundary sample: demand $8.46M (5.5%) with 17.4 MPG, 2.1 EWA, -3.9 BPM. Challenge tags: young_high_pot_low_current, high_ewa_low_minutes.",MINIMUM_LEVEL,$2.43M-$2.79M,"falls through to minimum after role, production, age, and archetype checks"
C-04,B40-12,1659,Alex Sarr,low_rotation,C. LOW_ROTATION,young_high_pot_low_current;defense_rebound_big_low_scoring,20,FC,55,73,62.383373,52.17654,55.034453,12020,13340,3,0.086259,38663,2090,66,4,14.166284,0.060606,7,2.606061,0.681818,0.363636,1.015152,1.015152,0.548277,15.422986,1.627316,0.441098,-0.133657,-0.572137,0.43848,3.502809,21.612764,2025: All-Rookie Team,"C. LOW_ROTATION boundary sample: demand $12.02M (7.8%) with 14.2 MPG, 1.6 EWA, -0.1 BPM. Challenge tags: young_high_pot_low_current, defense_rebound_big_low_scoring.",YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,young player with pot/premium upside but not enough starter role or production certainty
D-01,B40-13,927,Simisola Shittu,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,specialist_high_skill_low_minutes,25,PF,58,62,54.81737,53.409421,53.691011,12730,7270,2,0.047009,38663,2940,82,15,18.118911,0.182927,5.792683,3.256098,0.54878,1.146341,0.47561,1.231707,0.556519,11.389489,-0.06535,0.095351,-1.745475,-2.847487,1.102012,-8.1456,14.940929,2025: Won Championship,"D. GOOD_ROTATION / SPECIALIST boundary sample: demand $12.73M (8.2%) with 18.1 MPG, -0.1 EWA, -1.7 BPM. Challenge tags: specialist_high_skill_low_minutes.",MINIMUM_LEVEL,$2.94M-$3.38M,"falls through to minimum after role, production, age, and archetype checks"
D-02,B40-14,1593,Jordan Poole,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,specialist_high_skill_low_minutes,26,G,59,62,55.930812,55.550333,55.626429,16040,9960,4,0.064403,38663,2940,82,1,15.635103,0.012195,7.085366,1.390244,2.02439,0.560976,0.109756,0.865854,0.546834,14.117836,1.718539,0.452275,-0.60269,0.122596,-0.725287,0.787766,19.807836,2024: Sixth Man of the Year,"D. GOOD_ROTATION / SPECIALIST boundary sample: demand $16.04M (10.4%) with 15.6 MPG, 1.7 EWA, -0.6 BPM. Challenge tags: specialist_high_skill_low_minutes.",LOW_ROTATION_PLUS,$3.09M-$5.41M,small but real regular-season role with non-poor production and BBGM current value above replacement
D-03,B40-15,1794,Jaylen Wells,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,young_high_pot_low_current;specialist_high_skill_low_minutes,22,GF,58,67,59.126533,54.009336,55.442151,13840,12620,3,0.081604,38663,2090,70,1,16.951821,0.014286,7.014286,2.2,0.771429,0.442857,0.2,0.714286,0.586031,12.070077,0.741531,-0.055223,-2.185266,-0.60081,-1.584456,-2.788557,16.507034,2025: All-Rookie Team,"D. GOOD_ROTATION / SPECIALIST boundary sample: demand $13.84M (8.9%) with 17 MPG, 0.7 EWA, -2.2 BPM. Challenge tags: young_high_pot_low_current, specialist_high_skill_low_minutes.",YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,young player with pot/premium upside but not enough starter role or production certainty
D-04,B40-16,1525,Keegan Murray,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,specialist_high_skill_low_minutes,25,F,55,60,52.967847,51.537035,51.823197,9540,6170,1,0.039897,38663,2430,74,6,14.855872,0.081081,6.783784,2.810811,0.337838,0.22973,0.175676,1.175676,0.567616,10.948694,-0.022449,-0.649613,-4.334705,-1.840871,-2.493834,-12.508568,20.244612,None,"D. GOOD_ROTATION / SPECIALIST boundary sample: demand $9.54M (6.2%) with 14.9 MPG, 0 EWA, -4.3 BPM. Challenge tags: specialist_high_skill_low_minutes.",SPECIALIST_ROTATION,$5.41M-$8.51M,rotation sample with strong shootingThreePointer composite and 3 skill margin
E-01,B40-17,200,Yogi Ferrell,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,old_good_current_short_term;guard_age_31_plus_length_risk,32,G,61,61,52.060145,56.587114,56.043878,18430,14150,1,0.091497,46395,3370,62,7,21.181068,0.112903,9.33871,2.112903,3.629032,0.629032,0.145161,0.870968,0.559139,16.443142,2.975675,1.81338,3.455773,2.293734,1.162039,4.788657,18.091316,None,"E. HIGH_END_ROTATION / SIXTH MAN boundary sample: demand $18.43M (11.9%) with 21.2 MPG, 3 EWA, 3.5 BPM. Challenge tags: old_good_current_short_term, guard_age_31_plus_length_risk.",VETERAN_ROTATION_GUARD,$6.19M-$9.28M,"veteran guard creator profile with rotation minutes, passing composite, and positive production"
E-02,B40-18,1381,Nikola Jović,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,young_high_pot_low_current,22,PF,61,72,62.861134,56.669136,57.907536,19940,5090,1,0.032913,38663,2430,82,4,21.897022,0.04878,11.865854,3.707317,2.231707,0.658537,0.268293,2.073171,0.577434,15.313426,2.725261,2.021692,2.442969,1.372928,1.07004,-1.19967,23.417442,None,"E. HIGH_END_ROTATION / SIXTH MAN boundary sample: demand $19.94M (12.9%) with 21.9 MPG, 2.7 EWA, 2.4 BPM. Challenge tags: young_high_pot_low_current.",YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,young player with pot/premium upside but not enough starter role or production certainty
E-03,B40-19,46,Malik Beasley,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,player_minimum_sensitive,29,SG,62,62,53.860427,57.298327,56.885779,18740,18550,1,0.119948,46395,3370,80,22,22.165967,0.275,9.5125,3.6125,1.7875,0.9875,0.4125,1.35,0.533421,14.307076,2.686966,0.534263,-0.806608,0.17791,-0.984518,-4.589773,19.530697,2022: Won Championship,"E. HIGH_END_ROTATION / SIXTH MAN boundary sample: demand $18.74M (12.1%) with 22.2 MPG, 2.7 EWA, -0.8 BPM. Challenge tags: player_minimum_sensitive.",MINIMUM_LEVEL,$3.37M-$3.88M,"falls through to minimum after role, production, age, and archetype checks"
E-04,B40-20,1717,Julian Strawther,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,young_high_pot_low_current,23,GF,60,69,60.368839,55.51846,56.488536,17510,7860,5,0.050824,38663,2350,79,17,21.827799,0.21519,10.101266,4.177215,1,0.734177,0.556962,1.025316,0.554382,14.40946,2.683167,0.734251,-0.319787,0.153901,-0.473688,-5.548993,19.496389,2024: All-Rookie Team,"E. HIGH_END_ROTATION / SIXTH MAN boundary sample: demand $17.51M (11.3%) with 21.8 MPG, 2.7 EWA, -0.3 BPM. Challenge tags: young_high_pot_low_current.",YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,young player with pot/premium upside but not enough starter role or production certainty
F-01,B40-21,1675,Shaedon Sharpe,low_end_starter,F. LOW_END_STARTER,young_high_pot_low_current;low_ewa_but_starter,22,SG,62,71,62.379432,56.800222,57.916064,19950,10470,1,0.067701,38663,2430,71,71,28.969005,1,14.56338,4.197183,1,0.873239,0.352113,1.957746,0.548274,13.037663,2.077398,0.430969,-1.173181,-0.308076,-0.865105,3.812563,21.845099,2023: All-Rookie Team,"F. LOW_END_STARTER boundary sample: demand $19.95M (12.9%) with 29 MPG, 2.1 EWA, -1.2 BPM. Challenge tags: young_high_pot_low_current, low_ewa_but_starter.",LOW_END_STARTER,$9.28M-$18.56M,starter role and adequate BBGM current value with at least neutral production support
F-02,B40-22,1383,Mfiondu Kabengele,low_end_starter,F. LOW_END_STARTER,low_ewa_but_starter,28,FC,62,63,55.443971,58.362075,57.778454,19710,11870,3,0.076754,38663,2940,69,69,28.724895,1,16.26087,7.84058,0.681159,0.855072,1.202899,2.855072,0.599308,17.598849,5.166143,0.819821,-0.367817,0.434404,-0.802221,7.052222,24.00698,None,"F. LOW_END_STARTER boundary sample: demand $19.71M (12.7%) with 28.7 MPG, 5.2 EWA, -0.4 BPM. Challenge tags: low_ewa_but_starter.",LOW_END_STARTER,$9.28M-$18.56M,starter role and adequate BBGM current value with at least neutral production support
F-03,B40-23,1557,Isaac Okoro,low_end_starter,F. LOW_END_STARTER,low_ewa_but_starter,24,GF,63,68,59.975806,57.1511,57.716042,19610,3200,3,0.020692,38663,2720,66,66,28.881846,1,10.984848,4.984848,0.909091,2.060606,0.863636,1.757576,0.489838,12.714992,1.680487,0.600907,-0.752919,-1.890295,1.137375,6.696489,18.583642,None,"F. LOW_END_STARTER boundary sample: demand $19.61M (12.7%) with 28.9 MPG, 1.7 EWA, -0.8 BPM. Challenge tags: low_ewa_but_starter.",LOW_END_STARTER,$9.28M-$18.56M,starter role and adequate BBGM current value with at least neutral production support
F-04,B40-24,100,Kentavious Caldwell-Pope,low_end_starter,F. LOW_END_STARTER,old_good_current_short_term;low_ewa_but_starter;guard_age_31_plus_length_risk,32,SG,63,63,53.175622,57.799589,57.244713,20680,14130,2,0.091368,54128,3710,63,63,28.820227,1,11.888889,5.222222,2.920635,1.333333,0.142857,2.206349,0.544363,13.453593,2.134433,0.477212,-0.962877,-1.054055,0.091178,-6.756834,19.110765,None,"F. LOW_END_STARTER boundary sample: demand $20.68M (13.4%) with 28.8 MPG, 2.1 EWA, -1 BPM. Challenge tags: old_good_current_short_term, low_ewa_but_starter, guard_age_31_plus_length_risk.",LOW_END_STARTER,$9.28M-$18.56M,starter role and adequate BBGM current value with at least neutral production support
G-01,B40-25,51,Jordan Bell,solid_starter,G. SOLID_STARTER,,30,C,65,65,56.188012,60.417217,59.909713,24760,19380,5,0.125315,46395,3360,71,71,29.983839,1,10.408451,8.929577,4.366197,1.056338,2.014085,1.816901,0.540173,17.872575,6.162086,2.755118,3.132717,0.444458,2.688259,10.720448,16.023408,2024: Won Championship; 2023: Third Team All-Defensive; 2022: Third Team All-Defensive; 2021: Third Team All-Defensive; 2020: Won Championship; 2019: Second Team All-Defensive; 2018: Won Championship,"G. SOLID_STARTER boundary sample: demand $24.76M (16.0%) with 30 MPG, 6.2 EWA, 3.1 BPM.",LOW_END_STARTER,$9.28M-$18.56M,starter role and adequate BBGM current value with at least neutral production support
G-02,B40-26,1716,Isaiah Stewart,solid_starter,G. SOLID_STARTER,low_ewa_but_starter,24,FC,65,72,63.225602,60.146349,60.7622,24810,10940,4,0.07074,38663,2720,68,68,30.607821,1,14.808824,8.323529,1.088235,1.352941,1.529412,2.602941,0.546095,17.000583,4.929408,0.77159,-0.538995,-0.495611,-0.043384,2.67872,21.811305,None,"G. SOLID_STARTER boundary sample: demand $24.81M (16.0%) with 30.6 MPG, 4.9 EWA, -0.5 BPM. Challenge tags: low_ewa_but_starter.",LOW_END_STARTER,$9.28M-$18.56M,starter role and adequate BBGM current value with at least neutral production support
G-03,B40-27,20,OG Anunoby,solid_starter,G. SOLID_STARTER,,28,F,67,68,58.188909,61.251484,60.638969,24600,15650,3,0.101196,46395,3360,74,74,29.657669,1,12.189189,5.283784,2.72973,1.081081,0.297297,1.297297,0.594861,15.945413,4.319816,2.241249,2.024647,1.724349,0.300298,6.245722,16.407255,2019: Won Championship,"G. SOLID_STARTER boundary sample: demand $24.60M (15.9%) with 29.7 MPG, 4.3 EWA, 2 BPM.",LOW_END_STARTER,$9.28M-$18.56M,starter role and adequate BBGM current value with at least neutral production support
G-04,B40-28,1527,Džanan Musa,solid_starter,G. SOLID_STARTER,low_ewa_but_starter;high_usage_bad_efficiency,26,GF,66,69,61.313465,60.783173,60.889232,25030,14900,2,0.096347,46395,3150,45,45,32.331666,1,19.311111,6.377778,2.422222,1.288889,0.311111,3.155556,0.543641,15.783185,3.059359,0.466919,-0.727218,0.553201,-1.280419,4.595452,27.142406,"2024: Won Championship; 2023: Most Improved Player, Won Championship","G. SOLID_STARTER boundary sample: demand $25.03M (16.2%) with 32.3 MPG, 3.1 EWA, -0.7 BPM. Challenge tags: low_ewa_but_starter, high_usage_bad_efficiency.",MINIMUM_LEVEL,$3.15M-$3.62M,"falls through to minimum after role, production, age, and archetype checks"
H-01,B40-29,1403,Kevin Knox,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,,26,F,70,71,64.551188,64.278062,64.332687,30910,31420,2,0.203168,46395,3150,72,72,33.32959,1,18.472222,6.902778,2.319444,1.569444,0.777778,2.416667,0.582251,18.852119,7.499689,2.877628,2.731831,2.344442,0.387389,4.373194,23.03125,2024: Third Team All-Defensive,"H. GOOD_STARTER / HIGH_STARTER boundary sample: demand $30.91M (20.0%) with 33.3 MPG, 7.5 EWA, 2.7 BPM.",YOUNG_PROVEN_STARTER,$26.29M-$34.80M,young established starter with BBGM contractValue/value and production support
H-02,B40-30,589,Ben Simmons,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,,29,PG,69,69,60.455307,64.314156,63.851094,30990,29950,5,0.193663,46395,3370,71,71,31.207723,1,13.366197,7.056338,5.450704,1.802817,1.619718,1.985915,0.57257,21.246543,9.036323,5.855211,8.440689,3.728511,4.712178,0.062983,18.185358,"2025: First Team All-Defensive; 2023: All-Star, First Team All-Defensive; 2021: All-Star, Second Team All-League, First Team All-Defensive; 2020: All-Star, Second Team All-League, First Team All-Defensive; 2019: All-Star, Defensive Player of the Year, Second Team All-League, First Team All-Defensive; 2018: All-Star, Second Team All-Defensive","H. GOOD_STARTER / HIGH_STARTER boundary sample: demand $30.99M (20.0%) with 31.2 MPG, 9 EWA, 8.4 BPM.",LOW_END_STARTER,$9.28M-$18.56M,starter role and adequate BBGM current value with at least neutral production support
H-03,B40-31,732,LaMelo Ball,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,,24,PG,68,74,66.051942,63.828415,64.273121,30810,22770,4,0.147236,46395,2720,74,74,34.517772,1,17.486486,10.459459,6.959459,1,0.472973,2.378378,0.563785,22.035388,11.219048,5.234029,6.095967,5.136757,0.95921,1.025648,21.590915,"2025: All-Star; 2024: All-Star, First Team All-League; 2023: All-Star, Third Team All-League; 2022: All-Star; 2021: All-Rookie Team","H. GOOD_STARTER / HIGH_STARTER boundary sample: demand $30.81M (19.9%) with 34.5 MPG, 11.2 EWA, 6.1 BPM.",YOUNG_PROVEN_STARTER,$26.29M-$34.80M,young established starter with BBGM contractValue/value and production support
H-04,B40-32,1376,Kai Jones,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,,24,C,69,74,66.00233,63.738211,64.191035,30670,10150,3,0.065632,38663,2510,73,73,31.261623,1,16.780822,6,2.287671,1.342466,1.917808,2.123288,0.563581,19.414923,8.006576,3.612523,4.246451,2.602866,1.643585,15.054033,22.597064,2025: Third Team All-Defensive,"H. GOOD_STARTER / HIGH_STARTER boundary sample: demand $30.67M (19.8%) with 31.3 MPG, 8 EWA, 4.2 BPM.",YOUNG_PROVEN_STARTER,$26.29M-$34.80M,young established starter with BBGM contractValue/value and production support
I-01,B40-33,1422,Saben Lee,star_near_max,I. STAR_NEAR_MAX,,26,PG,74,77,68.838231,68.375079,68.46771,37980,11810,2,0.076366,46395,2720,61,61,37.159961,1,23.032787,4.459016,8.754098,2.081967,0.196721,2.852459,0.553359,22.873623,10.712289,6.165589,8.746734,6.305388,2.441346,4.848552,26.461451,"2025: All-Star, Third Team All-League; 2024: All-Star","I. STAR_NEAR_MAX boundary sample: demand $37.98M (24.6%) with 37.2 MPG, 10.7 EWA, 8.7 BPM.",STAR_NEAR_MAX,$40.83M-$46.40M,contractValue/valueNoPot clear star threshold with full starter role and strong EWA/VORP/BPM
I-02,B40-34,1247,Josh Giddey,star_near_max,I. STAR_NEAR_MAX,high_usage_bad_efficiency,23,GF,72,80,71.156137,67.544701,68.266988,37630,32560,5,0.21054,38663,2510,65,65,37.219947,1,22.523077,11.8,7.446154,1.553846,0.707692,3.230769,0.558881,24.868697,13.835678,5.564332,7.087219,6.056446,1.030773,7.783404,26.418332,2025: All-Star; 2023: All-Star; 2022: All-Rookie Team,"I. STAR_NEAR_MAX boundary sample: demand $37.63M (24.3%) with 37.2 MPG, 13.8 EWA, 7.1 BPM. Challenge tags: high_usage_bad_efficiency.",STAR_NEAR_MAX,$34.02M-$38.66M,contractValue/valueNoPot clear star threshold with full starter role and strong EWA/VORP/BPM
I-03,B40-35,1821,Patrick Williams,star_near_max,I. STAR_NEAR_MAX,,24,PF,74,79,70.528186,68.325202,68.765798,38490,34310,4,0.221856,46395,2720,67,67,35.649572,1,22.358209,8.791045,1.507463,2.238806,2.208955,2.820896,0.578182,22.873541,10.812316,3.388617,3.633695,3.019726,0.613968,11.106111,26.121335,"2025: Second Team All-Defensive; 2024: All-Star, Most Valuable Player, Defensive Player of the Year, First Team All-League, First Team All-Defensive; 2023: All-Star, League Blocks Leader, Third Team All-Defensive; 2022: Second Team All-Defensive; 2021: All-Rookie Team","I. STAR_NEAR_MAX boundary sample: demand $38.49M (24.9%) with 35.6 MPG, 10.8 EWA, 3.6 BPM.",STAR_NEAR_MAX,$40.83M-$46.40M,contractValue/valueNoPot clear star threshold with full starter role and strong EWA/VORP/BPM
I-04,B40-36,1840,Trae Young,star_near_max,I. STAR_NEAR_MAX,high_usage_bad_efficiency,27,PG,73,75,66.348639,68.00752,67.675744,36620,41200,2,0.266408,46395,3150,78,78,38.662058,1,23.24359,8.358974,11.115385,1.384615,0.346154,3.371795,0.543426,24.177094,15.815873,8.361475,8.954949,6.57448,2.380469,10.671808,26.654345,"2025: All-Star, League Assists Leader, Second Team All-League; 2024: All-Star, League Assists Leader; 2023: All-Star, Most Valuable Player, First Team All-League, Semifinals MVP; 2022: All-Star, All-Star MVP, League Assists Leader, Second Team All-League; 2021: All-Star, Finals MVP, First Team All-League, Semifinals MVP, Won Championship; 2020: All-Star, First Team All-League; 2019: Rookie of the Year, All-Rookie Team","I. STAR_NEAR_MAX boundary sample: demand $36.62M (23.7%) with 38.7 MPG, 15.8 EWA, 9 BPM. Challenge tags: high_usage_bad_efficiency.",STAR_NEAR_MAX,$40.83M-$46.40M,contractValue/valueNoPot clear star threshold with full starter role and strong EWA/VORP/BPM
J-01,B40-37,834,Justin Champagnie,superstar_max_lock,J. UPPER STAR / MAX BORDERLINE,,24,SF,77,84,73.937059,70.860336,71.414146,43010,31200,3,0.201746,46395,2510,62,62,35.864291,1,21.919355,10.451613,4.048387,1.967742,1.129032,2.806452,0.578712,24.008926,11.955526,4.651456,6.254525,5.291721,0.962804,7.060057,25.456462,"2025: All-Star, Third Team All-League, Third Team All-Defensive, Semifinals MVP; 2024: All-Star","J. UPPER STAR / MAX BORDERLINE boundary sample: demand $43.01M (27.8%) with 35.9 MPG, 12 EWA, 6.3 BPM.",STAR_NEAR_MAX,$40.83M-$46.40M,contractValue/valueNoPot clear star threshold with full starter role and strong EWA/VORP/BPM
