caseId,globalCaseId,pid,name,bucket,bucketLabel,humanRangeStatus,humanRangeText,humanAmountMinM,humanAmountMaxM,humanAmountMidpointM,humanTargetTier,humanYears,humanNotes,v1Tier,v1RangeText,v1RangeMinM,v1RangeMaxM,v1Direction,v1Overlap,v1GapM,v1SignedGapM,v1GapCapPct,v1Severe,debugTier,debugRangeMinM,debugRangeMaxM,debugRangeText,debugPointEstimateM,debugPointEstimateText,debugYears,tierPlacementScore,debugReason,modelComponents,riskFlags,v2PointDirection,v2PointInside,v2PointGapM,v2PointSignedGapM,v2PointGapCapPct,v2PointSevere,v2AbsGapToHumanMidpointM,v2AbsGapToHumanRangeM,v1v2Change,oldDemandProxyM,oldDemandProxyText,oldDemandSanityGapM,oldDemandSanityFlag,tradeExploitRiskFlag,tradeExploitReason,age,pos,ovr,pot,value,valueNoPot,contractValue,MPG,starterShare,PER,EWA,VORP,BPM,USG
C-03,B40-11,1467,Bennedict Mathurin,low_rotation,C. LOW_ROTATION,missing,,,,,,,,MINIMUM_LEVEL,$2.43M-$2.79M,2.43,2.79,missing,,,,,,MINIMUM_LEVEL,2.43,2.79,$2.43M-$2.79M,2.59,$2.59M,1,0.430784,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 43.1% inside the range; no major risk flags,"{""currentImpactComponent"":0.1786,""roleCertaintyComponent"":0.4071,""futureUpsideComponent"":0.39,""skillPortabilityComponent"":0.5371,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.429}",,missing,,,,,,,,missing,8.46,$8.46M,5.87,old_demand_close,none,,23,GF,52,63,55.064803,50.283119,51.62199,17.396479,0.0875,14.272768,2.089803,-0.655025,-3.866635,21.022314
C-04,B40-12,1659,Alex Sarr,low_rotation,C. LOW_ROTATION,missing,,,,,,,,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,3.87,6.96,missing,,,,,,YOUNG_UPSIDE_SUSPECT,3.87,6.96,$3.87M-$6.96M,5.4,$5.40M,1-2,0.496141,v2 keeps v1 tier/range (YOUNG_UPSIDE_SUSPECT) and places ask at 49.6% inside the range; flags: young_pot_only,"{""currentImpactComponent"":0.2692,""roleCertaintyComponent"":0.3344,""futureUpsideComponent"":0.758,""skillPortabilityComponent"":0.4282,""archetypeRiskComponent"":0,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.4673}",young_pot_only,missing,,,,,,,,missing,12.02,$12.02M,6.62,old_demand_close,high,"cheap v2 ask with high asset proxy and role/archetype risk; audit only, not used as ask input",20,FC,55,73,62.383373,52.17654,55.034453,14.166284,0.060606,15.422986,1.627316,0.441098,-0.133657,21.612764
D-01,B40-13,927,Simisola Shittu,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,parsed,$3.00M-$5.00M,3,5,4,,,,MINIMUM_LEVEL,$2.94M-$3.38M,2.94,3.38,overlap,yes,0,0,0,no,MINIMUM_LEVEL,2.94,3.38,$2.94M-$3.38M,3.13,$3.13M,1,0.423668,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 42.4% inside the range; no major risk flags,"{""currentImpactComponent"":0.2158,""roleCertaintyComponent"":0.4316,""futureUpsideComponent"":0.2263,""skillPortabilityComponent"":0.461,""archetypeRiskComponent"":0,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.3994}",,overlap,yes,0,0,0,no,0.87,0,roughly_same,12.73,$12.73M,9.6,old_demand_much_higher,none,,25,PF,58,62,54.81737,53.409421,53.691011,18.118911,0.182927,11.389489,-0.06535,0.095351,-1.745475,14.940929
D-02,B40-14,1593,Jordan Poole,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,parsed,$6.00M-$10.00M,6,10,8,,,,LOW_ROTATION_PLUS,$3.09M-$5.41M,3.09,5.41,too_low,no,0.59,-0.59,0.003815,no,LOW_ROTATION_PLUS,3.09,5.41,$3.09M-$5.41M,4.12,$4.12M,1-2,0.443169,v2 keeps v1 tier/range (LOW_ROTATION_PLUS) and places ask at 44.3% inside the range; no major risk flags,"{""currentImpactComponent"":0.2833,""roleCertaintyComponent"":0.4074,""futureUpsideComponent"":0.1936,""skillPortabilityComponent"":0.432,""archetypeRiskComponent"":0,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.4924}",,too_low,no,1.88,-1.88,0.012156,no,3.88,1.88,roughly_same,16.04,$16.04M,11.92,old_demand_much_higher,none,,26,G,59,62,55.930812,55.550333,55.626429,15.635103,0.012195,14.117836,1.718539,0.452275,-0.60269,19.807836
D-03,B40-15,1794,Jaylen Wells,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,parsed,$8.00M-$14.00M,8,14,11,,,,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,3.87,6.96,too_low,no,1.04,-1.04,0.006725,no,YOUNG_UPSIDE_SUSPECT,3.87,6.96,$3.87M-$6.96M,5.22,$5.22M,1-2,0.43549,v2 keeps v1 tier/range (YOUNG_UPSIDE_SUSPECT) and places ask at 43.5% inside the range; flags: young_pot_only,"{""currentImpactComponent"":0.2141,""roleCertaintyComponent"":0.3746,""futureUpsideComponent"":0.482,""skillPortabilityComponent"":0.5058,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.3771}",young_pot_only,too_low,no,2.78,-2.78,0.017976,no,5.78,2.78,roughly_same,13.84,$13.84M,8.62,old_demand_much_higher,none,,22,GF,58,67,59.126533,54.009336,55.442151,16.951821,0.014286,12.070077,0.741531,-0.055223,-2.185266,16.507034
D-04,B40-16,1525,Keegan Murray,good_rotation_specialist,D. GOOD_ROTATION / SPECIALIST,parsed,$4.00M-$8.00M,4,8,6,,,,SPECIALIST_ROTATION,$5.41M-$8.51M,5.41,8.51,overlap,yes,0,0,0,no,SPECIALIST_ROTATION,5.41,8.51,$5.41M-$8.51M,6.49,$6.49M,1-2,0.346948,v2 keeps v1 tier/range (SPECIALIST_ROTATION) and places ask at 34.7% inside the range; no major risk flags,"{""currentImpactComponent"":0.1239,""roleCertaintyComponent"":0.3444,""futureUpsideComponent"":0.1684,""skillPortabilityComponent"":0.4557,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.303}",,overlap,yes,0,0,0,no,0.49,0,roughly_same,9.54,$9.54M,3.05,old_demand_close,none,,25,F,55,60,52.967847,51.537035,51.823197,14.855872,0.081081,10.948694,-0.022449,-0.649613,-4.334705,20.244612
E-01,B40-17,200,Yogi Ferrell,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,parsed,$8.00M-$12.00M,8,12,10,,,,VETERAN_ROTATION_GUARD,$6.19M-$9.28M,6.19,9.28,overlap,yes,0,0,0,no,VETERAN_ROTATION_GUARD,6.19,9.28,$6.19M-$9.28M,7.77,$7.77M,1,0.511892,"v2 keeps v1 tier/range (VETERAN_ROTATION_GUARD) and places ask at 51.2% inside the range; flags: small_guard_defense_stat_risk, non_scoring_impact_positive","{""currentImpactComponent"":0.4573,""roleCertaintyComponent"":0.4844,""futureUpsideComponent"":0.2091,""skillPortabilityComponent"":0.5478,""archetypeRiskComponent"":0.12,""ageYearsRiskComponent"":0.5,""productionReliabilityComponent"":0.6944}",small_guard_defense_stat_risk; non_scoring_impact_positive,too_low,no,0.23,-0.23,0.001487,no,2.23,0.23,worsened_from_range_overlap,18.43,$18.43M,10.66,old_demand_much_higher,none,,32,G,61,61,52.060145,56.587114,56.043878,21.181068,0.112903,16.443142,2.975675,1.81338,3.455773,18.091316
E-02,B40-18,1381,Nikola Jović,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,parsed,$20.00M-$30.00M,20,30,25,,,,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,3.87,6.96,too_low,no,13.04,-13.04,0.084319,severe_low,YOUNG_UPSIDE_SUSPECT,3.87,6.96,$3.87M-$6.96M,5.73,$5.73M,1-2,0.60303,"v2 keeps v1 tier/range (YOUNG_UPSIDE_SUSPECT) and places ask at 60.3% inside the range; flags: young_proven_positive, high_turnover_role_player_risk","{""currentImpactComponent"":0.4472,""roleCertaintyComponent"":0.5235,""futureUpsideComponent"":0.6719,""skillPortabilityComponent"":0.585,""archetypeRiskComponent"":0.28,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.7284}",young_proven_positive; high_turnover_role_player_risk,too_low,no,14.27,-14.27,0.092273,severe_low,19.27,14.27,roughly_same,19.94,$19.94M,14.21,old_demand_much_higher,high,"cheap v2 ask with high asset proxy and role/archetype risk; audit only, not used as ask input",22,PF,61,72,62.861134,56.669136,57.907536,21.897022,0.04878,15.313426,2.725261,2.021692,2.442969,23.417442
E-03,B40-19,46,Malik Beasley,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,parsed,$6.00M-$10.00M,6,10,8,,,,MINIMUM_LEVEL,$3.37M-$3.88M,3.37,3.88,too_low,no,2.12,-2.12,0.013708,no,MINIMUM_LEVEL,3.37,3.88,$3.37M-$3.88M,3.63,$3.63M,1,0.517773,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 51.8% inside the range; no major risk flags,"{""currentImpactComponent"":0.3795,""roleCertaintyComponent"":0.5877,""futureUpsideComponent"":0.184,""skillPortabilityComponent"":0.4716,""archetypeRiskComponent"":0,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.5832}",,too_low,no,2.37,-2.37,0.015325,no,4.37,2.37,roughly_same,18.74,$18.74M,15.11,old_demand_much_higher,none,,29,SG,62,62,53.860427,57.298327,56.885779,22.165967,0.275,14.307076,2.686966,0.534263,-0.806608,19.530697
E-04,B40-20,1717,Julian Strawther,high_end_rotation_sixth_man,E. HIGH_END_ROTATION / SIXTH MAN,parsed,$12.00M-$18.00M,12,18,15,,,,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,3.87,6.96,too_low,no,5.04,-5.04,0.03259,no,YOUNG_UPSIDE_SUSPECT,3.87,6.96,$3.87M-$6.96M,5.6,$5.60M,1-2,0.56046,v2 keeps v1 tier/range (YOUNG_UPSIDE_SUSPECT) and places ask at 56.0% inside the range; flags: young_proven_positive,"{""currentImpactComponent"":0.3677,""roleCertaintyComponent"":0.5525,""futureUpsideComponent"":0.5344,""skillPortabilityComponent"":0.5006,""archetypeRiskComponent"":0,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.6001}",young_proven_positive,too_low,no,6.4,-6.4,0.041384,no,9.4,6.4,roughly_same,17.51,$17.51M,11.91,old_demand_much_higher,medium,cheap v2 ask with high OVR/POT/value/contractValue proxy; audit only,23,GF,60,69,60.368839,55.51846,56.488536,21.827799,0.21519,14.40946,2.683167,0.734251,-0.319787,19.496389
F-01,B40-21,1675,Shaedon Sharpe,low_end_starter,F. LOW_END_STARTER,parsed,$20.00M-$30.00M,20,30,25,,,,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,too_low,no,1.44,-1.44,0.009311,no,LOW_END_STARTER,9.28,18.56,$9.28M-$18.56M,15.02,$15.02M,2-4,0.618201,"v2 keeps v1 tier/range (LOW_END_STARTER) and places ask at 61.8% inside the range; flags: young_proven_positive, high_turnover_role_player_risk","{""currentImpactComponent"":0.4518,""roleCertaintyComponent"":0.7852,""futureUpsideComponent"":0.6152,""skillPortabilityComponent"":0.5648,""archetypeRiskComponent"":0.28,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.5825}",young_proven_positive; high_turnover_role_player_risk,too_low,no,4.98,-4.98,0.032202,no,9.98,4.98,worsened_gap,19.95,$19.95M,4.93,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",22,SG,62,71,62.379432,56.800222,57.916064,28.969005,1,13.037663,2.077398,0.430969,-1.173181,21.845099
F-02,B40-22,1383,Mfiondu Kabengele,low_end_starter,F. LOW_END_STARTER,parsed,$10.00M-$16.00M,10,16,13,,,,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,overlap,yes,0,0,0,no,LOW_END_STARTER,9.28,18.56,$9.28M-$18.56M,15.4,$15.40M,2-4,0.659932,"v2 keeps v1 tier/range (LOW_END_STARTER) and places ask at 66.0% inside the range; flags: high_turnover_creator_risk, shooting_portable","{""currentImpactComponent"":0.5555,""roleCertaintyComponent"":0.8425,""futureUpsideComponent"":0.2524,""skillPortabilityComponent"":0.7044,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.7438}",high_turnover_creator_risk; shooting_portable,overlap,yes,0,0,0,no,2.4,0,roughly_same,19.71,$19.71M,4.31,old_demand_close,none,,28,FC,62,63,55.443971,58.362075,57.778454,28.724895,1,17.598849,5.166143,0.819821,-0.367817,24.00698
F-03,B40-23,1557,Isaac Okoro,low_end_starter,F. LOW_END_STARTER,parsed,$15.00M-$20.00M,15,20,17.5,,,,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,overlap,yes,0,0,0,no,LOW_END_STARTER,9.28,18.56,$9.28M-$18.56M,14.43,$14.43M,2-4,0.554502,"v2 keeps v1 tier/range (LOW_END_STARTER) and places ask at 55.5% inside the range; flags: high_turnover_role_player_risk, low_efficiency_shooter_risk","{""currentImpactComponent"":0.455,""roleCertaintyComponent"":0.7613,""futureUpsideComponent"":0.444,""skillPortabilityComponent"":0.4285,""archetypeRiskComponent"":0.488,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.5643}",high_turnover_role_player_risk; low_efficiency_shooter_risk,too_low,no,0.57,-0.57,0.003686,no,3.07,0.57,worsened_from_range_overlap,19.61,$19.61M,5.18,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",24,GF,63,68,59.975806,57.1511,57.716042,28.881846,1,12.714992,1.680487,0.600907,-0.752919,18.583642
F-04,B40-24,100,Kentavious Caldwell-Pope,low_end_starter,F. LOW_END_STARTER,parsed,$6.00M-$12.00M,6,12,9,,,,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,overlap,yes,0,0,0,no,LOW_END_STARTER,9.28,18.56,$9.28M-$18.56M,14.22,$14.22M,1-3,0.532052,v2 keeps v1 tier/range (LOW_END_STARTER) and places ask at 53.2% inside the range; flags: high_turnover_role_player_risk,"{""currentImpactComponent"":0.4609,""roleCertaintyComponent"":0.7629,""futureUpsideComponent"":0.2049,""skillPortabilityComponent"":0.5729,""archetypeRiskComponent"":0.28,""ageYearsRiskComponent"":0.5,""productionReliabilityComponent"":0.5633}",high_turnover_role_player_risk,too_high,no,2.22,2.22,0.014355,no,5.22,2.22,worsened_from_range_overlap,20.68,$20.68M,6.46,old_demand_close,none,,32,SG,63,63,53.175622,57.799589,57.244713,28.820227,1,13.453593,2.134433,0.477212,-0.962877,19.110765
G-01,B40-25,51,Jordan Bell,solid_starter,G. SOLID_STARTER,parsed,$12.00M-$20.00M,12,20,16,,,,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,overlap,yes,0,0,0,no,LOW_END_STARTER,9.28,18.56,$9.28M-$18.56M,15.85,$15.85M,1-3,0.707637,"v2 keeps v1 tier/range (LOW_END_STARTER) and places ask at 70.8% inside the range; flags: high_turnover_role_player_risk, non_scoring_impact_positive","{""currentImpactComponent"":0.7036,""roleCertaintyComponent"":0.902,""futureUpsideComponent"":0.311,""skillPortabilityComponent"":0.5898,""archetypeRiskComponent"":0.235,""ageYearsRiskComponent"":0.2867,""productionReliabilityComponent"":0.9307}",high_turnover_role_player_risk; non_scoring_impact_positive,overlap,yes,0,0,0,no,0.15,0,roughly_same,24.76,$24.76M,8.91,old_demand_much_higher,high,"cheap v2 ask with high asset proxy and role/archetype risk; audit only, not used as ask input",30,C,65,65,56.188012,60.417217,59.909713,29.983839,1,17.872575,6.162086,2.755118,3.132717,16.023408
G-02,B40-26,1716,Isaiah Stewart,solid_starter,G. SOLID_STARTER,parsed,$20.00M-$25.00M,20,25,22.5,,,,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,too_low,no,1.44,-1.44,0.009311,no,LOW_END_STARTER,9.28,18.56,$9.28M-$18.56M,15.62,$15.62M,2-4,0.683534,v2 keeps v1 tier/range (LOW_END_STARTER) and places ask at 68.4% inside the range; flags: high_turnover_role_player_risk,"{""currentImpactComponent"":0.5906,""roleCertaintyComponent"":0.8669,""futureUpsideComponent"":0.5478,""skillPortabilityComponent"":0.5802,""archetypeRiskComponent"":0.28,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.7198}",high_turnover_role_player_risk,too_low,no,4.38,-4.38,0.028322,no,6.88,4.38,worsened_gap,24.81,$24.81M,9.19,old_demand_much_higher,high,"cheap v2 ask with high asset proxy and role/archetype risk; audit only, not used as ask input",24,FC,65,72,63.225602,60.146349,60.7622,30.607821,1,17.000583,4.929408,0.77159,-0.538995,21.811305
G-03,B40-27,20,OG Anunoby,solid_starter,G. SOLID_STARTER,parsed,$12.00M-$18.00M,12,18,15,,,,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,overlap,yes,0,0,0,no,LOW_END_STARTER,9.28,18.56,$9.28M-$18.56M,16.03,$16.03M,2-4,0.726938,v2 keeps v1 tier/range (LOW_END_STARTER) and places ask at 72.7% inside the range; flags: non_scoring_impact_positive,"{""currentImpactComponent"":0.6482,""roleCertaintyComponent"":0.8847,""futureUpsideComponent"":0.3406,""skillPortabilityComponent"":0.6741,""archetypeRiskComponent"":0,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.8312}",non_scoring_impact_positive,overlap,yes,0,0,0,no,1.03,0,roughly_same,24.6,$24.60M,8.57,old_demand_much_higher,medium,cheap v2 ask with high OVR/POT/value/contractValue proxy; audit only,28,F,67,68,58.188909,61.251484,60.638969,29.657669,1,15.945413,4.319816,2.241249,2.024647,16.407255
