pid,name,team,pos,height_in,ratings_hgt,ovr,skills,gp,mpg,bpm,obpm,dbpm,pm100,onOff100,impact_gap_pm100,impact_gap_onoff,dbpm_vs_onoff_gap,stl_per36,blk_per36,trb_per36,ast_per36,archetype,band,comparison_to_yogi
1519,Ja Morant,SAC,PG,74,33,69,B;Ps;V,69,35.27,7.4249,5.8058,1.6192,-2.67,-4.29,10.0975,11.7107,5.9050,0.991,0.311,8.49,8.120,small_guard,band_2,"PM100 lower by -12.8, OnOff lower by -9.1. Archetype: small_guard. Ratings: OVR 69, DIQ 43"
1555,Josh Okogie,SA,SG,76,42,68,Di;Dp,65,34.64,2.2234,1.4689,0.7545,-2.08,2.59,4.3048,-0.3665,-1.8354,1.871,0.672,5.85,3.262,normal_guard,band_2,"PM100 lower by -12.2, OnOff lower by -2.2. Archetype: normal_guard. Ratings: OVR 68, DIQ 67"
1557,Isaac Okoro,CHI,GF,77,44,63,Di;Dp,66,28.88,-0.7529,-1.8903,1.1374,0.74,6.70,-1.4972,-7.4494,-5.5591,2.568,1.076,6.21,1.133,defensive_profile,band_1,"PM100 lower by -9.4, OnOff higher by +1.9. Archetype: defensive_profile. Ratings: OVR 63, DIQ 78"
1603,Jason Preston,IND,PG,76,33,62,3;Ps,79,31.57,5.9043,4.7130,1.1913,-1.11,-0.36,7.0108,6.2672,1.5542,1.039,0.188,7.19,8.386,normal_guard,band_1,"PM100 lower by -11.3, OnOff lower by -5.2. Archetype: normal_guard. Ratings: OVR 62, DIQ 49"
1651,Luka Šamanić,NYK,PF,82,59,72,3;Di;Po;Ps;R;V,77,35.96,6.7841,5.8500,0.9340,-1.50,6.76,8.2810,0.0262,-5.8239,1.235,1.495,9.67,6.058,playmaking_big_or_wing,band_1,"PM100 lower by -11.6, OnOff higher by +2.0. Archetype: playmaking_big_or_wing. Ratings: OVR 72, DIQ 65"
1671,Collin Sexton,NYK,G,75,29,69,3;Ps;V,35,33.08,7.0352,5.7997,1.2354,0.87,6.23,6.1609,0.8060,-4.9937,1.493,0.311,6.00,6.312,small_guard,band_1,"PM100 lower by -9.3, OnOff higher by +1.4. Archetype: small_guard. Ratings: OVR 69, DIQ 65"
1729,Tyrell Terry,POR,PG,74,33,63,,69,27.95,2.6732,1.7036,0.9695,-2.79,-1.35,5.4677,4.0235,2.3199,2.147,0.149,5.08,4.555,small_guard,band_1,"PM100 lower by -12.9, OnOff lower by -6.1. Archetype: small_guard. Ratings: OVR 63, DIQ 67"
1739,JT Thor,IND,PF,82,58,54,,79,21.77,-1.0704,-1.9067,0.8363,-3.96,-5.27,2.8859,4.1994,6.1062,1.402,2.093,8.18,1.402,wing,band_2,"PM100 lower by -14.1, OnOff lower by -10.1. Archetype: wing. Ratings: OVR 54, DIQ 57"
1768,Franz Wagner,MEM,SF,82,60,64,3;V,77,28.46,4.8922,3.8596,1.0327,5.73,3.77,-0.8352,1.1227,-2.7369,1.216,0.641,7.13,4.978,playmaking_big_or_wing,band_1,"PM100 lower by -4.4, OnOff lower by -1.0. Archetype: playmaking_big_or_wing. Ratings: OVR 64, DIQ 48"
1796,Victor Wembanyama,MIN,FC,87,85,65,Di;Po;R;V,64,31.72,2.9417,1.3148,1.6269,-3.42,5.57,6.3662,-2.6238,-3.9386,1.135,3.228,10.04,2.394,playmaking_big_or_wing,band_2,"PM100 lower by -13.6, OnOff higher by +0.8. Archetype: playmaking_big_or_wing. Ratings: OVR 65, DIQ 61"
