pid,name,tid,abbrev,pos,age,height_in,height_cm,ratings_hgt,ovr,pot,valueNoPot,skills,gp,mp,mpg,per,obpm,dbpm,pm100,onOff,diq,spd,hgt,stre,jmp,reb,drb,pss,tp,stl_per36,blk_per36,trb_per36,category,why_flagged
863,Sharife Cooper,5,DET,PG,24,73,185.4,26,44,51,43.15,Ps,29,191.5,6.60,19.25,3.87,0.97,7.48,4.53,28,59,26,30,41,44,13,70,42,1.128,0.188,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (28), No Dp, but positive DBPM (0.9696209760712877)"
907,Devon Dotson,21,IND,PG,26,74,188,30,66,68,61.38,"3,Ps,V",68,2266.2,33.33,18.65,2.44,0.35,1.01,4.62,67,66,30,49,60,55,267,68,83,2.113,0.254,NaN,credible_positive_dbpm_small_guard,"Credible defense ratings: DIQ (67), Dp present? false"
940,DJ Steward,4,LAL,SG,23,74,188,29,52,61,49.19,,64,643.4,10.05,11.29,-2.42,-1.41,-3.83,-4.60,48,69,29,32,43,70,80,37,46,1.399,0.112,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.4052043245163723) for weak ratings
1239,Darius Garland,15,CLE,G,25,73,185.4,33,58,61,54.18,3,46,1385.3,30.11,11.84,-1.15,-1.03,-3.03,-3.54,53,55,33,42,50,50,112,48,60,0.832,0.182,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.0289866064893385) for weak ratings
1288,Jared Harper,4,LAL,PG,28,70,177.8,19,58,58,55.55,"3,B,Ps",67,1678.0,25.05,16.43,2.60,0.14,-3.33,-5.82,45,66,19,46,47,24,75,70,64,1.137,0.215,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (45), No Dp, but positive DBPM (0.1438821902649856)"
1311,Aaron Holiday,23,NOL,PG,29,72,182.9,35,58,58,54.41,3,70,1622.7,23.18,14.35,0.93,-0.57,4.25,7.43,48,53,35,59,55,49,116,66,77,0.932,0.177,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-0.5687259273446355) for weak ratings
1344,Bronny James,17,UTA,SG,21,74,188,33,34,54,33.26,,34,190.2,5.59,4.29,-6.01,-3.08,-6.81,-14.22,40,55,33,25,58,40,7,46,45,1.136,0.000,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-3.0770245128120335) for weak ratings
1422,Saben Lee,6,PHI,PG,26,74,188,30,74,77,68.38,"3,B,Dp,Ps,V",61,2266.8,37.16,22.87,6.31,2.44,9.01,4.85,71,69,30,58,59,66,227,73,75,2.017,0.191,NaN,credible_positive_dbpm_small_guard,"Credible defense ratings: DIQ (71), Dp present? true"
1441,Daryl Macon,8,WAS,G,30,74,188,42,50,50,46.86,,57,466.2,8.18,7.39,-4.04,-2.96,-8.60,-7.81,42,43,42,63,39,54,41,50,60,0.463,0.154,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-2.9593826693346337) for weak ratings
1449,Nico Mannion,19,SA,PG,24,74,188,31,57,65,54.83,Ps,51,1446.4,28.36,17.57,2.25,0.33,-4.86,-2.63,50,46,31,47,30,55,149,69,49,0.846,0.100,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (50), No Dp, but positive DBPM (0.33001702996203)"
1469,Tyrese Maxey,26,MIN,G,25,74,188,33,47,53,44.50,,82,930.0,11.34,6.80,-5.83,-2.75,-12.36,-8.11,35,59,33,46,56,45,49,46,30,0.813,0.077,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-2.748911884406742) for weak ratings
1472,Miles McBride,1,NYK,PG,25,74,188,26,58,61,53.93,3,79,1756.8,22.24,13.55,-0.13,-1.44,-8.67,-9.21,55,65,26,44,45,48,117,60,69,1.311,0.225,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.444959359429629) for weak ratings
1475,Mac McClung,25,ORL,G,26,74,188,30,50,53,47.37,,73,522.0,7.15,8.90,-4.69,-1.41,-8.91,0.94,44,55,30,55,58,53,56,45,52,1.517,0.207,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.413514472506491) for weak ratings
1506,Davion Mitchell,4,LAL,PG,27,74,188,22,55,58,50.23,,67,872.0,13.02,6.72,-5.84,-1.21,-3.10,-4.00,58,71,22,59,62,57,84,48,46,2.147,0.165,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.2078898285425819) for weak ratings
1519,Ja Morant,3,SAC,PG,26,74,188,33,69,72,65.04,"B,Ps,V",69,2433.9,35.27,23.61,5.81,1.62,-2.67,-4.29,43,72,33,57,80,81,416,76,43,0.991,0.311,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (43), No Dp, but positive DBPM (1.619159773968856)"
1549,Kendrick Nunn,0,BOS,G,30,74,188,33,42,42,39.36,3,25,127.6,5.10,17.03,3.08,-0.25,7.09,6.43,33,37,33,52,38,35,6,59,62,0.564,0.282,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-0.2542868722382483) for weak ratings
1586,Scotty Pippen Jr.,0,BOS,PG,25,73,185.4,26,53,58,49.90,,53,630.3,11.89,10.11,-2.63,-1.37,1.21,0.41,49,61,26,47,44,51,51,61,48,0.743,0.114,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.3735865677112828) for weak ratings
1605,Payton Pritchard,21,IND,G,27,73,185.4,32,51,55,48.26,3,70,632.5,9.04,12.83,-0.93,-1.06,-1.73,-0.90,41,42,32,54,47,59,91,54,59,0.968,0.057,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.0566712235611782) for weak ratings
1671,Collin Sexton,1,NYK,G,26,75,190.5,29,69,72,62.95,"3,Ps,V",35,1157.8,33.08,23.04,5.80,1.24,0.87,6.23,65,57,29,83,58,55,144,64,60,1.493,0.311,NaN,credible_positive_dbpm_small_guard,"Credible defense ratings: DIQ (65), Dp present? false"
1685,KJ Simpson,3,SAC,PG,23,72,182.9,29,49,59,46.40,,52,200.7,3.86,5.77,-6.82,-1.13,-2.62,-1.68,52,54,29,38,53,60,21,51,48,1.435,0.000,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-1.1252659264563825) for weak ratings
1699,Nick Smith Jr.,17,UTA,SG,21,74,188,41,66,75,59.56,"3,V",49,1432.1,29.23,16.42,1.95,-0.33,15.18,13.28,53,58,41,47,56,59,165,47,72,1.181,0.176,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-0.32879621938978687) for weak ratings
1809,Brandon Williams,20,DEN,PG,26,73,185.4,29,52,55,49.90,,69,592.2,8.58,18.23,3.63,0.15,-0.64,3.36,45,59,29,39,52,60,64,56,58,0.912,0.243,NaN,suspicious_positive_dbpm_small_guard,"Low DIQ (45), No Dp, but positive DBPM (0.14553793942542725)"
1828,Cassius Winston,21,IND,PG,27,73,185.4,26,59,60,57.42,"3,B,Ps,V",71,1984.4,27.95,20.53,4.99,-0.82,0.02,1.99,34,62,26,35,47,26,119,75,70,0.635,0.127,NaN,expected_negative_small_guard,Expected negative/neutral DBPM (-0.8239787747009037) for weak ratings
1840,Trae Young,15,CLE,PG,27,73,185.4,31,73,75,68.06,"A,B,Dp,Po,Ps,V",78,3015.6,38.66,24.18,6.57,2.38,1.80,10.67,56,73,31,85,68,69,508,96,54,1.289,0.322,NaN,credible_positive_dbpm_small_guard,"Credible defense ratings: DIQ (56), Dp present? true"
